5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
08/15/2006 00:00	9.0	1.0	15.0	1.8	15.0	2.3	17.0	3.3	14.0	2.2	70.0	2.1	5	0.0
08/15/2006 00:05	6.0	0.7	16.0	2.0	18.0	2.8	15.0	2.4	9.0	1.3	64.0	1.8	5	0.0
08/15/2006 00:10	6.0	0.7	13.0	1.6	15.0	2.5	11.0	2.1	12.0	2.1	57.0	1.8	5	0.0
08/15/2006 00:15	7.0	0.7	16.0	2.1	15.0	1.9	13.0	2.3	11.0	2.1	62.0	1.8	5	0.0
08/15/2006 00:20	6.0	0.6	14.0	1.8	13.0	1.8	13.0	2.3	11.0	1.7	57.0	1.6	5	0.0
08/15/2006 00:25	7.0	0.8	15.0	1.9	15.0	2.1	14.0	2.6	11.0	1.9	62.0	1.9	5	0.0
08/15/2006 00:30	5.0	0.6	15.0	1.9	15.0	2.1	11.0	2.3	12.0	1.9	58.0	1.8	5	0.0
08/15/2006 00:35	2.0	0.3	7.0	0.9	7.0	1.1	8.0	1.6	5.0	0.8	29.0	0.9	5	0.0
08/15/2006 00:40	5.0	0.5	12.0	1.3	12.0	1.5	10.0	2.6	9.0	1.4	48.0	1.5	5	0.0
08/15/2006 00:45	1.0	0.1	7.0	0.9	6.0	0.8	8.0	1.6	7.0	1.1	29.0	0.9	5	0.0
08/15/2006 00:50	3.0	0.3	9.0	0.9	7.0	1.0	9.0	1.6	9.0	1.3	37.0	1.1	5	0.0
08/15/2006 00:55	3.0	0.4	8.0	1.1	9.0	1.6	8.0	1.9	8.0	1.5	36.0	1.3	5	0.0
08/15/2006 01:00	1.0	0.1	6.0	0.8	6.0	0.8	6.0	1.1	5.0	0.6	24.0	0.7	5	0.0
08/15/2006 01:05	1.0	0.1	5.0	0.6	7.0	0.9	5.0	0.9	5.0	0.7	23.0	0.6	5	0.0
08/15/2006 01:10	2.0	0.2	6.0	0.6	6.0	0.7	8.0	1.3	7.0	1.3	29.0	0.8	5	0.0
08/15/2006 01:15	1.0	0.1	4.0	0.5	4.0	0.7	4.0	0.9	2.0	0.4	15.0	0.5	5	0.0
08/15/2006 01:20	2.0	0.3	6.0	0.7	8.0	1.2	6.0	1.3	4.0	0.6	26.0	0.8	5	0.0
08/15/2006 01:25	1.0	0.1	6.0	0.6	6.0	0.9	7.0	1.0	6.0	1.2	26.0	0.8	5	0.0
08/15/2006 01:30	1.0	0.1	7.0	0.8	6.0	1.0	8.0	1.1	7.0	1.1	29.0	0.8	5	0.0
08/15/2006 01:35	1.0	0.1	7.0	0.9	7.0	1.1	7.0	1.4	4.0	0.7	26.0	0.8	5	0.0
08/15/2006 01:40	2.0	0.2	7.0	0.7	9.0	1.1	9.0	1.7	5.0	1.3	32.0	1.0	5	0.0
08/15/2006 01:45	2.0	0.2	6.0	0.7	5.0	0.7	5.0	1.1	4.0	0.8	22.0	0.7	5	0.0
08/15/2006 01:50	0.0	0.0	5.0	0.6	7.0	1.1	6.0	1.0	6.0	0.7	24.0	0.7	5	0.0
08/15/2006 01:55	1.0	0.1	6.0	0.6	7.0	1.1	9.0	1.9	7.0	1.4	30.0	1.0	5	0.0
08/15/2006 02:00	2.0	0.2	5.0	0.5	5.0	0.9	5.0	1.4	6.0	1.0	23.0	0.8	5	0.0
08/15/2006 02:05	1.0	0.1	7.0	0.9	7.0	0.9	6.0	1.3	4.0	0.6	25.0	0.8	5	0.0
08/15/2006 02:10	1.0	0.1	6.0	0.7	6.0	0.9	5.0	1.1	4.0	0.7	22.0	0.7	5	0.0
08/15/2006 02:15	0.0	0.0	6.0	0.9	7.0	1.1	7.0	1.4	4.0	0.6	24.0	0.8	5	0.0
08/15/2006 02:20	1.0	0.1	6.0	0.7	7.0	1.1	8.0	1.6	5.0	0.7	27.0	0.9	5	0.0
08/15/2006 02:25	1.0	0.1	3.0	0.3	4.0	0.8	4.0	0.8	3.0	0.4	15.0	0.5	5	0.0
08/15/2006 02:30	1.0	0.1	4.0	0.4	5.0	0.7	8.0	2.1	5.0	1.0	23.0	0.9	5	0.0
08/15/2006 02:35	1.0	0.1	3.0	0.3	5.0	0.9	5.0	1.2	3.0	0.7	17.0	0.6	5	0.0
08/15/2006 02:40	1.0	0.1	6.0	0.6	5.0	0.6	5.0	0.9	3.0	0.6	20.0	0.6	5	0.0
08/15/2006 02:45	1.0	0.1	3.0	0.3	4.0	0.4	6.0	1.4	5.0	0.9	19.0	0.6	5	0.0
08/15/2006 02:50	0.0	0.0	3.0	0.3	3.0	0.5	4.0	0.6	2.0	0.5	12.0	0.4	5	0.0
08/15/2006 02:55	0.0	0.0	3.0	0.4	3.0	0.3	7.0	1.3	4.0	0.7	17.0	0.5	5	0.0
08/15/2006 03:00	0.0	0.0	1.0	0.2	2.0	0.4	5.0	1.2	2.0	0.6	10.0	0.5	5	0.0
08/15/2006 03:05	0.0	0.0	2.0	0.3	4.0	0.6	4.0	0.7	3.0	0.4	13.0	0.4	5	0.0
08/15/2006 03:10	0.0	0.0	3.0	0.4	3.0	0.3	3.0	1.1	3.0	0.6	12.0	0.5	5	0.0
08/15/2006 03:15	0.0	0.0	2.0	0.2	5.0	0.5	5.0	1.5	5.0	1.0	17.0	0.6	5	0.0
08/15/2006 03:20	0.0	0.0	3.0	0.4	2.0	0.3	6.0	1.2	4.0	0.8	15.0	0.5	5	0.0
08/15/2006 03:25	0.0	0.0	3.0	0.3	4.0	0.9	4.0	1.2	2.0	0.3	13.0	0.5	5	0.0
08/15/2006 03:30	0.0	0.0	3.0	0.4	2.0	0.4	5.0	1.0	3.0	0.4	13.0	0.4	5	0.0
08/15/2006 03:35	1.0	0.1	1.0	0.2	2.0	0.5	5.0	1.2	4.0	0.9	13.0	0.6	5	0.0
08/15/2006 03:40	0.0	0.0	2.0	0.3	3.0	0.6	4.0	1.5	4.0	0.9	13.0	0.7	5	0.0
08/15/2006 03:45	0.0	0.0	3.0	0.3	4.0	0.9	6.0	1.4	4.0	1.1	17.0	0.7	5	0.0
08/15/2006 03:50	0.0	0.0	3.0	0.3	5.0	0.7	5.0	1.3	3.0	0.8	16.0	0.6	5	0.0
08/15/2006 03:55	0.0	0.0	3.0	0.3	5.0	0.9	6.0	2.0	3.0	0.9	17.0	0.8	5	0.0
