5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
12/29/2006 00:00	7.0	0.9	17.0	2.1	17.0	2.1	13.0	2.4	13.0	1.9	67.0	1.9	5	100.0
12/29/2006 00:05	11.0	1.3	21.0	2.6	20.0	2.8	15.0	2.5	11.0	1.7	78.0	2.2	5	100.0
12/29/2006 00:10	9.0	1.1	17.0	2.1	19.0	2.6	16.0	2.5	14.0	2.4	75.0	2.1	5	100.0
12/29/2006 00:15	9.0	1.1	24.0	3.0	15.0	2.0	15.0	2.4	11.0	1.8	74.0	2.1	5	100.0
12/29/2006 00:20	8.0	0.9	20.0	2.4	18.0	2.4	12.0	2.4	11.0	2.4	69.0	2.1	5	100.0
12/29/2006 00:25	7.0	0.7	13.0	1.7	16.0	2.4	13.0	2.5	12.0	1.9	61.0	1.9	5	100.0
12/29/2006 00:30	4.0	0.4	15.0	1.9	16.0	2.5	12.0	1.8	8.0	1.4	55.0	1.6	5	100.0
12/29/2006 00:35	0.0	0.0	7.0	0.9	11.0	1.4	7.0	1.8	6.0	0.7	31.0	1.0	5	100.0
12/29/2006 00:40	3.0	0.4	11.0	1.5	16.0	2.6	14.0	2.5	11.0	1.8	55.0	1.8	5	100.0
12/29/2006 00:45	7.0	0.9	12.0	1.4	13.0	2.0	11.0	2.5	9.0	1.3	52.0	1.6	5	100.0
12/29/2006 00:50	6.0	0.7	15.0	1.8	11.0	1.4	11.0	1.8	9.0	1.4	52.0	1.4	5	100.0
12/29/2006 00:55	6.0	0.6	11.0	1.1	9.0	1.2	9.0	2.4	10.0	1.5	45.0	1.4	5	100.0
12/29/2006 01:00	5.0	0.5	11.0	1.4	10.0	1.5	11.0	1.8	7.0	1.4	44.0	1.3	5	100.0
12/29/2006 01:05	5.0	0.5	8.0	0.9	13.0	1.9	12.0	2.3	11.0	1.5	49.0	1.4	5	100.0
12/29/2006 01:10	2.0	0.2	7.0	0.9	9.0	1.1	12.0	2.2	7.0	0.8	37.0	1.0	5	100.0
12/29/2006 01:15	3.0	0.3	11.0	1.3	10.0	1.4	8.0	1.5	9.0	1.6	41.0	1.2	5	100.0
12/29/2006 01:20	1.0	0.1	7.0	1.1	9.0	1.3	11.0	2.5	9.0	1.7	37.0	1.3	5	100.0
12/29/2006 01:25	0.0	0.0	8.0	0.9	10.0	1.6	11.0	1.7	7.0	1.2	36.0	1.1	5	100.0
12/29/2006 01:30	1.0	0.1	7.0	0.7	6.0	0.7	10.0	1.3	9.0	1.1	33.0	0.8	5	100.0
12/29/2006 01:35	1.0	0.1	9.0	1.0	9.0	1.4	8.0	1.5	9.0	1.3	36.0	1.1	5	100.0
12/29/2006 01:40	1.0	0.1	8.0	0.9	9.0	1.1	7.0	1.7	8.0	1.4	33.0	1.0	5	100.0
12/29/2006 01:45	1.0	0.1	9.0	0.9	9.0	1.4	9.0	1.8	7.0	0.9	35.0	1.0	5	100.0
12/29/2006 01:50	1.0	0.1	8.0	0.8	7.0	1.1	9.0	2.1	7.0	1.6	32.0	1.2	5	100.0
12/29/2006 01:55	3.0	0.3	9.0	1.1	10.0	1.3	11.0	1.7	4.0	0.8	37.0	1.1	5	100.0
12/29/2006 02:00	1.0	0.1	9.0	1.0	9.0	1.0	13.0	2.8	6.0	1.3	38.0	1.2	5	100.0
12/29/2006 02:05	3.0	0.3	6.0	0.7	9.0	0.9	11.0	2.4	5.0	1.0	34.0	1.1	5	100.0
12/29/2006 02:10	2.0	0.3	3.0	0.3	5.0	0.6	5.0	0.9	4.0	0.5	19.0	0.5	5	100.0
12/29/2006 02:15	3.0	0.3	9.0	1.0	7.0	0.9	9.0	1.9	6.0	0.9	34.0	1.0	5	100.0
12/29/2006 02:20	0.0	0.0	1.0	0.1	4.0	0.4	2.0	0.4	1.0	0.2	8.0	0.2	5	100.0
12/29/2006 02:25	1.0	0.1	8.0	1.0	9.0	1.3	9.0	3.3	6.0	0.9	33.0	1.3	5	100.0
