5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
02/22/2006 00:00	20.0	1.3	22.0	1.7	19.0	1.9	18.0	1.8	11.0	1.3	90.0	1.6	5	0.0
02/22/2006 00:05	20.0	1.3	22.0	1.7	19.0	1.9	18.0	1.8	12.0	1.3	91.0	1.6	5	0.0
02/22/2006 00:10	21.0	1.3	22.0	1.8	20.0	1.9	18.0	1.9	12.0	1.3	93.0	1.6	5	0.0
02/22/2006 00:15	20.0	1.3	21.0	1.7	19.0	1.9	18.0	1.8	11.0	1.3	89.0	1.6	5	0.0
02/22/2006 00:20	19.0	1.2	20.0	1.7	18.0	1.8	17.0	1.7	11.0	1.2	85.0	1.5	5	0.0
02/22/2006 00:25	18.0	1.2	20.0	1.6	17.0	1.8	16.0	1.7	10.0	1.2	81.0	1.5	5	0.0
02/22/2006 00:30	17.0	1.1	19.0	1.5	17.0	1.7	15.0	1.6	10.0	1.2	78.0	1.4	5	0.0
02/22/2006 00:35	17.0	1.1	18.0	1.5	16.0	1.7	15.0	1.6	10.0	1.1	76.0	1.4	5	0.0
02/22/2006 00:40	17.0	1.1	18.0	1.5	16.0	1.6	15.0	1.5	10.0	1.1	76.0	1.4	5	0.0
02/22/2006 00:45	16.0	1.1	18.0	1.4	16.0	1.6	15.0	1.5	9.0	1.1	74.0	1.3	5	0.0
02/22/2006 00:50	16.0	1.1	17.0	1.4	15.0	1.6	14.0	1.5	9.0	1.1	71.0	1.3	5	0.0
02/22/2006 00:55	15.0	1.0	17.0	1.4	15.0	1.5	14.0	1.5	9.0	1.0	70.0	1.3	5	0.0
02/22/2006 01:00	15.0	1.0	16.0	1.3	14.0	1.5	13.0	1.4	9.0	1.0	67.0	1.2	5	0.0
02/22/2006 01:05	15.0	1.0	16.0	1.3	14.0	1.5	13.0	1.4	8.0	1.0	66.0	1.2	5	0.0
02/22/2006 01:10	15.0	1.0	16.0	1.3	14.0	1.5	13.0	1.4	8.0	1.0	66.0	1.2	5	0.0
02/22/2006 01:15	15.0	1.0	16.0	1.4	14.0	1.5	13.0	1.4	8.0	1.0	66.0	1.3	5	0.0
02/22/2006 01:20	14.0	1.0	15.0	1.3	14.0	1.4	13.0	1.3	8.0	1.0	64.0	1.2	5	0.0
02/22/2006 01:25	14.0	0.9	15.0	1.3	13.0	1.4	12.0	1.3	8.0	0.9	62.0	1.2	5	0.0
02/22/2006 01:30	13.0	0.9	14.0	1.3	13.0	1.4	12.0	1.3	8.0	0.9	60.0	1.2	5	0.0
02/22/2006 01:35	14.0	0.9	15.0	1.3	13.0	1.4	12.0	1.3	8.0	1.0	62.0	1.2	5	0.0
02/22/2006 01:40	14.0	1.0	15.0	1.3	14.0	1.4	13.0	1.4	8.0	1.0	64.0	1.2	5	0.0
02/22/2006 01:45	14.0	0.9	15.0	1.3	13.0	1.4	12.0	1.3	8.0	1.0	62.0	1.2	5	0.0
02/22/2006 01:50	13.0	0.9	14.0	1.3	13.0	1.4	12.0	1.3	8.0	1.0	60.0	1.2	5	0.0
02/22/2006 01:55	13.0	0.9	14.0	1.3	13.0	1.4	12.0	1.3	8.0	0.9	60.0	1.2	5	0.0
02/22/2006 02:00	13.0	0.9	14.0	1.2	13.0	1.4	12.0	1.3	7.0	0.9	59.0	1.1	5	0.0
02/22/2006 02:05	13.0	0.9	14.0	1.3	13.0	1.4	12.0	1.3	8.0	0.9	60.0	1.2	5	0.0
02/22/2006 02:10	13.0	0.9	14.0	1.3	13.0	1.4	12.0	1.3	8.0	0.9	60.0	1.2	5	0.0
02/22/2006 02:15	13.0	0.9	14.0	1.3	13.0	1.4	12.0	1.3	8.0	0.9	60.0	1.2	5	0.0
02/22/2006 02:20	13.0	1.0	14.0	1.3	13.0	1.4	12.0	1.3	8.0	1.0	60.0	1.2	5	0.0
02/22/2006 02:25	13.0	0.9	14.0	1.3	12.0	1.4	11.0	1.3	7.0	0.9	57.0	1.2	5	0.0
02/22/2006 02:30	13.0	0.9	14.0	1.3	12.0	1.4	11.0	1.3	7.0	0.9	57.0	1.2	5	0.0
02/22/2006 02:35	13.0	0.9	14.0	1.3	13.0	1.4	12.0	1.3	7.0	0.9	59.0	1.2	5	0.0
02/22/2006 02:40	13.0	0.9	14.0	1.3	12.0	1.4	11.0	1.3	7.0	0.9	57.0	1.2	5	0.0
02/22/2006 02:45	13.0	0.9	14.0	1.2	12.0	1.3	11.0	1.3	7.0	0.9	57.0	1.1	5	0.0
02/22/2006 02:50	12.0	0.9	14.0	1.2	12.0	1.4	11.0	1.3	7.0	0.9	56.0	1.1	5	0.0
02/22/2006 02:55	12.0	0.9	14.0	1.2	12.0	1.3	11.0	1.3	7.0	0.9	56.0	1.1	5	0.0
02/22/2006 03:00	12.0	0.9	13.0	1.2	12.0	1.3	11.0	1.2	7.0	0.9	55.0	1.1	5	0.0
02/22/2006 03:05	12.0	0.9	13.0	1.2	12.0	1.3	11.0	1.3	7.0	0.9	55.0	1.1	5	0.0
02/22/2006 03:10	12.0	0.9	13.0	1.3	12.0	1.4	11.0	1.3	7.0	0.9	55.0	1.2	5	0.0
02/22/2006 03:15	12.0	0.9	13.0	1.3	12.0	1.4	11.0	1.3	7.0	0.9	55.0	1.2	5	0.0
02/22/2006 03:20	12.0	0.9	13.0	1.3	12.0	1.4	11.0	1.3	7.0	1.0	55.0	1.2	5	0.0
02/22/2006 03:25	12.0	0.9	14.0	1.3	12.0	1.4	11.0	1.3	7.0	0.9	56.0	1.2	5	0.0
02/22/2006 03:30	13.0	1.0	14.0	1.3	12.0	1.4	11.0	1.3	7.0	1.0	57.0	1.2	5	0.0
02/22/2006 03:35	13.0	1.0	14.0	1.3	12.0	1.4	11.0	1.3	7.0	1.0	57.0	1.2	5	0.0
02/22/2006 03:40	13.0	1.0	14.0	1.3	12.0	1.4	11.0	1.4	7.0	1.0	57.0	1.2	5	0.0
02/22/2006 03:45	13.0	1.0	14.0	1.3	13.0	1.5	12.0	1.4	7.0	1.0	59.0	1.2	5	0.0
02/22/2006 03:50	13.0	1.0	14.0	1.3	13.0	1.5	12.0	1.4	7.0	1.0	59.0	1.2	5	0.0
02/22/2006 03:55	13.0	1.0	14.0	1.3	12.0	1.4	11.0	1.4	7.0	1.0	57.0	1.2	5	0.0
02/22/2006 04:00	13.0	1.0	14.0	1.3	12.0	1.4	11.0	1.4	7.0	1.0	57.0	1.2	5	0.0
02/22/2006 04:05	13.0	1.0	14.0	1.3	13.0	1.4	12.0	1.4	7.0	1.0	59.0	1.2	5	0.0
02/22/2006 04:10	13.0	1.0	14.0	1.4	13.0	1.5	12.0	1.5	8.0	1.0	60.0	1.3	5	0.0
02/22/2006 04:15	14.0	1.1	15.0	1.4	13.0	1.6	12.0	1.5	8.0	1.1	62.0	1.3	5	0.0
02/22/2006 04:20	14.0	1.1	16.0	1.5	14.0	1.7	13.0	1.6	8.0	1.1	65.0	1.4	5	0.0
02/22/2006 04:25	15.0	1.2	16.0	1.6	14.0	1.7	13.0	1.7	9.0	1.2	67.0	1.5	5	0.0
02/22/2006 04:30	16.0	1.2	17.0	1.7	15.0	1.8	14.0	1.7	9.0	1.2	71.0	1.5	5	0.0
02/22/2006 04:35	17.0	1.3	18.0	1.7	16.0	1.9	15.0	1.8	10.0	1.3	76.0	1.6	5	0.0
02/22/2006 04:40	18.0	1.3	20.0	1.8	17.0	2.0	16.0	1.9	10.0	1.4	81.0	1.7	5	0.0
02/22/2006 04:45	19.0	1.4	20.0	1.9	18.0	2.1	17.0	2.0	11.0	1.4	85.0	1.8	5	0.0
02/22/2006 04:50	19.0	1.5	21.0	2.0	18.0	2.2	17.0	2.1	11.0	1.5	86.0	1.8	5	0.0
02/22/2006 04:55	19.0	1.5	21.0	2.0	19.0	2.1	17.0	2.0	11.0	1.5	87.0	1.8	5	0.0
02/22/2006 05:00	20.0	1.5	21.0	2.0	19.0	2.2	18.0	2.1	11.0	1.5	89.0	1.8	5	0.0
02/22/2006 05:05	21.0	1.6	22.0	2.1	20.0	2.3	18.0	2.2	12.0	1.6	93.0	2.0	5	0.0
02/22/2006 05:10	22.0	1.6	24.0	2.2	21.0	2.4	20.0	2.3	13.0	1.6	100.0	2.0	5	0.0
02/22/2006 05:15	24.0	1.8	26.0	2.4	23.0	2.6	22.0	2.5	14.0	1.8	109.0	2.2	5	0.0
02/22/2006 05:20	26.0	1.9	29.0	2.6	25.0	2.9	24.0	2.7	15.0	1.9	119.0	2.4	5	0.0
02/22/2006 05:25	28.0	2.1	31.0	2.8	27.0	3.0	25.0	2.9	16.0	2.1	127.0	2.6	5	0.0
02/22/2006 05:30	31.0	2.2	33.0	3.0	29.0	3.2	27.0	3.1	18.0	2.2	138.0	2.7	5	0.0
