5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
06/01/2006 00:00	14.0	1.5	24.0	3.0	23.0	3.3	23.0	4.2	15.0	2.6	99.0	2.9	5	0.0
06/01/2006 00:05	10.0	1.3	29.0	3.5	24.0	3.0	22.0	4.3	17.0	2.9	102.0	3.0	5	0.0
06/01/2006 00:10	9.0	0.9	22.0	2.6	24.0	3.0	20.0	3.4	20.0	2.6	95.0	2.5	5	0.0
06/01/2006 00:15	12.0	1.4	23.0	3.3	20.0	2.8	17.0	3.1	17.0	2.9	89.0	2.7	5	0.0
06/01/2006 00:20	16.0	1.9	28.0	3.4	18.0	3.7	19.0	4.4	18.0	3.1	99.0	3.3	5	0.0
06/01/2006 00:25	12.0	1.4	25.0	2.8	18.0	2.9	20.0	3.7	12.0	2.7	87.0	2.7	5	0.0
06/01/2006 00:30	8.0	0.9	18.0	2.1	18.0	3.0	19.0	3.4	18.0	2.7	81.0	2.4	5	0.0
06/01/2006 00:35	10.0	1.2	18.0	2.1	20.0	2.9	19.0	3.5	16.0	2.4	83.0	2.4	5	0.0
06/01/2006 00:40	8.0	0.8	17.0	2.0	17.0	2.4	16.0	2.3	13.0	2.6	71.0	2.0	5	0.0
06/01/2006 00:45	8.0	1.0	14.0	1.7	16.0	2.1	16.0	3.1	13.0	2.0	67.0	2.0	5	0.0
06/01/2006 00:50	9.0	0.9	16.0	1.9	17.0	2.0	14.0	2.5	10.0	2.3	66.0	1.9	5	0.0
06/01/2006 00:55	8.0	0.8	14.0	1.8	18.0	2.4	13.0	2.8	12.0	2.0	65.0	2.0	5	0.0
06/01/2006 01:00	3.0	0.3	10.0	1.1	12.0	1.8	11.0	2.2	10.0	2.7	46.0	1.6	5	0.0
06/01/2006 01:05	3.0	0.3	11.0	1.3	11.0	1.6	13.0	2.8	9.0	1.3	47.0	1.5	5	0.0
06/01/2006 01:10	5.0	0.5	12.0	1.4	14.0	2.1	11.0	2.1	8.0	1.3	50.0	1.5	5	0.0
06/01/2006 01:15	4.0	0.4	10.0	1.1	10.0	1.6	12.0	2.2	10.0	2.1	46.0	1.5	5	0.0
06/01/2006 01:20	3.0	0.3	10.0	1.2	12.0	1.5	9.0	1.9	9.0	1.5	43.0	1.3	5	0.0
06/01/2006 01:25	5.0	0.5	10.0	1.2	10.0	1.5	10.0	2.1	11.0	1.8	46.0	1.4	5	0.0
