5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
05/01/2006 00:00	11.0	1.1	21.0	2.5	22.0	3.0	24.0	4.0	16.0	3.1	94.0	2.7	5	100.0
05/01/2006 00:05	13.0	1.5	23.0	2.8	25.0	3.3	20.0	3.7	15.0	2.5	96.0	2.8	5	100.0
05/01/2006 00:10	10.0	1.0	19.0	2.3	26.0	3.3	18.0	3.5	19.0	2.3	92.0	2.5	5	100.0
05/01/2006 00:15	7.0	0.8	19.0	2.3	20.0	2.3	21.0	2.7	22.0	3.3	89.0	2.3	5	100.0
05/01/2006 00:20	8.0	1.0	18.0	2.4	23.0	3.5	20.0	3.4	19.0	2.6	88.0	2.6	5	100.0
05/01/2006 00:25	4.0	0.4	9.0	1.1	28.0	3.6	19.0	2.9	12.0	1.3	72.0	1.9	5	100.0
05/01/2006 00:30	3.0	0.4	14.0	1.4	17.0	2.1	19.0	2.8	17.0	2.1	70.0	1.8	5	100.0
05/01/2006 00:35	7.0	0.8	16.0	1.9	16.0	2.0	15.0	2.4	14.0	2.4	68.0	1.9	5	100.0
05/01/2006 00:40	8.0	0.8	20.0	2.4	17.0	2.1	17.0	3.0	12.0	1.7	74.0	2.0	5	100.0
05/01/2006 00:45	11.0	1.1	15.0	1.8	13.0	1.7	18.0	2.8	12.0	2.1	69.0	1.9	5	100.0
05/01/2006 00:50	4.0	0.5	13.0	1.6	16.0	2.3	19.0	2.7	14.0	3.2	66.0	2.1	5	100.0
05/01/2006 00:55	6.0	0.8	16.0	1.8	19.0	2.4	14.0	1.9	12.0	1.7	67.0	1.7	5	100.0
05/01/2006 01:00	13.0	1.3	11.0	1.2	11.0	1.4	11.0	1.9	8.0	0.9	54.0	1.3	5	100.0
05/01/2006 01:05	2.0	0.2	8.0	1.1	7.0	0.9	15.0	2.1	9.0	1.7	41.0	1.2	5	100.0
05/01/2006 01:10	4.0	0.4	11.0	1.3	11.0	1.5	12.0	2.1	8.0	1.3	46.0	1.3	5	100.0
05/01/2006 01:15	3.0	0.3	8.0	0.9	10.0	1.5	13.0	2.4	12.0	1.9	46.0	1.4	5	100.0
05/01/2006 01:20	2.0	0.2	8.0	0.9	11.0	1.2	9.0	1.4	9.0	1.4	39.0	1.0	5	100.0
05/01/2006 01:25	3.0	0.3	6.0	0.6	10.0	1.0	8.0	0.9	6.0	0.6	33.0	0.7	5	100.0
05/01/2006 01:30	3.0	0.3	12.0	1.2	11.0	1.4	13.0	1.8	8.0	1.1	47.0	1.2	5	100.0
05/01/2006 01:35	2.0	0.2	12.0	1.4	8.0	0.8	11.0	2.8	5.0	1.3	38.0	1.3	5	100.0
05/01/2006 01:40	1.0	0.2	8.0	1.0	8.0	1.2	14.0	2.0	8.0	1.6	39.0	1.2	5	100.0
05/01/2006 01:45	0.0	0.0	10.0	1.0	10.0	1.0	9.0	1.3	7.0	1.3	36.0	0.9	5	100.0
05/01/2006 01:50	0.0	0.0	8.0	1.2	7.0	0.8	4.0	0.7	8.0	1.0	27.0	0.7	5	100.0
05/01/2006 01:55	3.0	0.3	4.0	0.4	6.0	0.6	4.0	1.0	8.0	1.2	25.0	0.7	5	100.0
05/01/2006 02:00	6.0	0.6	6.0	0.6	9.0	1.0	5.0	0.8	6.0	1.0	32.0	0.8	5	100.0
05/01/2006 02:05	0.0	0.0	10.0	1.1	7.0	1.0	5.0	1.2	6.0	1.2	28.0	0.9	5	100.0
05/01/2006 02:10	5.0	0.5	5.0	0.5	4.0	0.4	12.0	1.8	7.0	1.5	33.0	1.0	5	100.0
05/01/2006 02:15	2.0	0.2	10.0	1.4	8.0	1.1	7.0	0.8	8.0	1.8	35.0	1.1	5	100.0
05/01/2006 02:20	0.0	0.0	7.0	0.8	4.0	0.5	9.0	1.7	13.0	1.7	33.0	0.9	5	100.0
05/01/2006 02:25	0.0	0.0	8.0	0.8	6.0	0.6	7.0	1.3	9.0	1.0	30.0	0.7	5	100.0
05/01/2006 02:30	1.0	0.1	7.0	0.8	8.0	1.1	9.0	1.3	5.0	1.3	30.0	0.9	5	100.0
05/01/2006 02:35	1.0	0.1	5.0	0.5	12.0	1.8	12.0	2.7	12.0	1.8	42.0	1.4	5	100.0
05/01/2006 02:40	0.0	0.0	3.0	0.3	4.0	0.5	9.0	2.4	1.0	0.1	17.0	0.7	5	100.0
05/01/2006 02:45	0.0	0.0	4.0	0.4	2.0	0.3	1.0	0.1	2.0	0.2	9.0	0.2	5	100.0
05/01/2006 02:50	3.0	0.3	4.0	0.4	4.0	0.5	7.0	1.2	2.0	0.4	20.0	0.6	5	100.0
05/01/2006 02:55	6.0	0.6	4.0	0.5	6.0	1.4	8.0	1.3	6.0	0.8	30.0	0.9	5	100.0
05/01/2006 03:00	2.0	0.2	4.0	0.4	7.0	0.9	4.0	0.7	8.0	2.1	25.0	0.9	5	100.0
05/01/2006 03:05	0.0	0.0	6.0	1.1	8.0	0.8	6.0	2.3	8.0	2.1	28.0	1.3	5	100.0
05/01/2006 03:10	0.0	0.0	4.0	0.6	5.0	1.0	8.0	1.3	8.0	1.5	25.0	0.9	5	100.0
05/01/2006 03:15	0.0	0.0	7.0	0.7	4.0	1.3	9.0	2.3	6.0	0.9	26.0	1.0	5	100.0
05/01/2006 03:20	4.0	0.4	1.0	0.1	1.0	0.1	6.0	0.8	6.0	1.2	18.0	0.5	5	100.0
05/01/2006 03:25	8.0	0.8	0.0	0.0	6.0	1.5	8.0	1.4	6.0	1.1	28.0	1.0	5	100.0
05/01/2006 03:30	0.0	0.0	2.0	0.2	7.0	0.7	10.0	2.0	2.0	0.2	21.0	0.6	5	100.0
05/01/2006 03:35	0.0	0.0	0.0	0.0	6.0	1.2	5.0	1.5	0.0	0.0	11.0	0.5	5	100.0
05/01/2006 03:40	0.0	0.0	0.0	0.0	5.0	0.6	1.0	0.1	5.0	0.5	11.0	0.2	5	100.0
05/01/2006 03:45	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	10.0	1.0	20.0	0.4	5	100.0
05/01/2006 03:50	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	10.0	1.0	20.0	0.4	5	100.0
05/01/2006 03:55	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	10.0	1.0	20.0	0.4	5	100.0
05/01/2006 04:00	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	10.0	1.0	20.0	0.4	5	100.0
05/01/2006 04:05	0.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	10.0	1.0	20.0	0.4	5	100.0
05/01/2006 04:10	0.0	0.0	3.0	0.3	6.0	0.6	4.0	1.2	9.0	0.9	22.0	0.6	5	100.0
05/01/2006 04:15	0.0	0.0	8.0	0.9	15.0	1.8	10.0	3.1	6.0	1.1	39.0	1.4	5	100.0
05/01/2006 04:20	5.0	0.5	8.0	0.8	11.0	2.3	10.0	1.7	10.0	1.8	44.0	1.4	5	100.0
05/01/2006 04:25	5.0	0.5	14.0	1.1	11.0	1.3	10.0	2.0	10.0	1.6	50.0	1.3	5	100.0
05/01/2006 04:30	1.0	0.1	8.0	1.0	7.0	1.7	9.0	1.9	11.0	1.9	36.0	1.3	5	100.0
05/01/2006 04:35	0.0	0.0	4.0	0.4	9.0	2.0	9.0	2.0	9.0	1.6	31.0	1.2	5	100.0
05/01/2006 04:40	3.0	0.3	2.0	0.2	11.0	2.1	13.0	4.0	8.0	1.4	37.0	1.6	5	100.0
05/01/2006 04:45	7.0	0.7	8.0	0.8	9.0	1.1	8.0	1.3	10.0	1.8	42.0	1.1	5	100.0
05/01/2006 04:50	0.0	0.0	6.0	0.6	11.0	1.9	11.0	3.0	11.0	2.4	39.0	1.6	5	100.0
05/01/2006 04:55	0.0	0.0	7.0	0.8	11.0	1.7	12.0	2.0	13.0	3.3	43.0	1.6	5	100.0
05/01/2006 05:00	0.0	0.0	9.0	0.9	17.0	2.4	14.0	3.1	10.0	1.9	50.0	1.7	5	100.0
05/01/2006 05:05	0.0	0.0	10.0	1.2	14.0	1.9	12.0	2.8	13.0	2.0	49.0	1.6	5	100.0
05/01/2006 05:10	0.0	0.0	9.0	1.3	15.0	2.2	20.0	3.4	14.0	3.5	58.0	2.1	5	100.0
05/01/2006 05:15	2.0	0.2	18.0	2.0	15.0	2.3	18.0	3.8	13.0	2.4	66.0	2.2	5	100.0
05/01/2006 05:20	1.0	0.1	17.0	2.1	20.0	3.1	22.0	5.1	14.0	3.6	74.0	2.8	5	100.0
05/01/2006 05:25	0.0	0.0	20.0	2.7	26.0	4.0	22.0	4.0	21.0	3.8	89.0	2.9	5	100.0
05/01/2006 05:30	0.0	0.0	22.0	2.8	25.0	4.5	23.0	4.6	14.0	2.5	84.0	2.9	5	100.0
05/01/2006 05:35	2.0	0.2	24.0	3.1	24.0	4.3	21.0	4.4	20.0	4.0	91.0	3.2	5	100.0
05/01/2006 05:40	6.0	0.6	25.0	3.0	23.0	3.4	28.0	6.2	21.0	4.4	103.0	3.5	5	100.0
05/01/2006 05:45	2.0	0.2	16.0	1.8	28.0	3.4	32.0	6.3	20.0	3.4	98.0	3.0	5	100.0
05/01/2006 05:50	1.0	0.2	35.0	4.2	35.0	6.1	28.0	6.2	29.0	5.2	128.0	4.4	5	100.0
05/01/2006 05:55	0.0	0.0	27.0	3.1	36.0	5.2	32.0	5.9	24.0	5.0	119.0	3.8	5	100.0
05/01/2006 06:00	5.0	0.5	20.0	2.4	33.0	4.2	26.0	4.7	23.0	3.4	107.0	3.0	5	100.0
05/01/2006 06:05	1.0	0.1	26.0	3.2	34.0	5.3	30.0	6.3	27.0	5.0	118.0	4.0	5	100.0
05/01/2006 06:10	2.0	0.2	32.0	3.7	36.0	5.3	32.0	5.2	27.0	4.8	129.0	3.8	5	100.0
05/01/2006 06:15	6.0	0.6	49.0	6.2	37.0	7.6	33.0	6.0	33.0	5.8	158.0	5.2	5	100.0
05/01/2006 06:20	3.0	0.4	39.0	5.1	44.0	6.6	35.0	7.3	28.0	4.7	149.0	4.8	5	100.0
05/01/2006 06:25	2.0	0.2	53.0	6.6	41.0	6.2	41.0	7.5	28.0	4.6	165.0	5.0	5	100.0
05/01/2006 06:30	3.0	0.3	46.0	5.8	44.0	6.8	44.0	8.2	34.0	6.1	171.0	5.4	5	100.0
05/01/2006 06:35	1.0	0.1	45.0	5.5	39.0	6.5	40.0	7.8	42.0	6.9	167.0	5.4	5	100.0
05/01/2006 06:40	2.0	0.2	48.0	6.1	47.0	6.8	38.0	7.1	40.0	6.5	175.0	5.3	5	100.0
05/01/2006 06:45	6.0	1.1	54.0	7.0	47.0	6.9	42.0	8.3	42.0	6.6	191.0	6.0	5	100.0
05/01/2006 06:50	8.0	1.0	56.0	7.3	48.0	8.0	51.0	8.0	43.0	7.5	206.0	6.4	5	100.0
05/01/2006 06:55	7.0	0.9	65.0	8.6	53.0	9.1	49.0	10.5	51.0	8.2	225.0	7.5	5	100.0
05/01/2006 07:00	5.0	0.5	52.0	6.6	49.0	7.2	54.0	9.5	46.0	7.7	206.0	6.3	5	100.0
05/01/2006 07:05	10.0	1.2	40.0	4.8	38.0	5.8	35.0	5.5	42.0	8.4	165.0	5.2	5	100.0
05/01/2006 07:10	8.0	0.9	60.0	8.3	50.0	8.5	42.0	8.2	53.0	8.3	213.0	6.8	5	100.0
05/01/2006 07:15	15.0	2.1	76.0	10.6	68.0	10.5	56.0	11.3	53.0	9.3	268.0	8.8	5	100.0
05/01/2006 07:20	3.0	0.6	70.0	9.3	67.0	9.8	63.0	10.2	54.0	9.0	257.0	7.8	5	100.0
05/01/2006 07:25	10.0	1.2	79.0	10.7	63.0	10.5	66.0	11.8	67.0	10.9	285.0	9.0	5	100.0
05/01/2006 07:30	15.0	2.0	72.0	9.6	61.0	9.5	52.0	9.3	51.0	9.6	251.0	8.0	5	100.0
05/01/2006 07:35	12.0	1.5	75.0	10.3	67.0	10.1	60.0	10.9	66.0	11.5	280.0	8.9	5	100.0
05/01/2006 07:40	13.0	2.0	79.0	11.1	72.0	12.7	67.0	13.3	74.0	14.2	305.0	10.7	5	100.0
05/01/2006 07:45	14.0	1.8	82.0	11.2	68.0	11.1	69.0	12.9	78.0	13.5	311.0	10.1	5	100.0
05/01/2006 07:50	12.0	1.4	89.0	12.4	73.0	12.1	63.0	12.8	81.0	14.6	318.0	10.7	5	100.0
05/01/2006 07:55	12.0	1.3	85.0	11.7	68.0	11.2	66.0	12.8	73.0	13.3	304.0	10.1	5	100.0
05/01/2006 08:00	11.0	1.2	84.0	11.8	67.0	12.6	62.0	11.4	76.0	14.7	300.0	10.3	5	100.0
05/01/2006 08:05	15.0	1.9	82.0	11.5	62.0	10.6	53.0	10.9	75.0	13.6	287.0	9.7	5	100.0
05/01/2006 08:10	20.0	3.0	84.0	11.6	62.0	10.5	65.0	10.7	66.0	12.0	297.0	9.6	5	100.0
05/01/2006 08:15	13.0	1.9	71.0	10.5	66.0	10.4	58.0	10.7	70.0	12.2	278.0	9.1	5	100.0
05/01/2006 08:20	7.0	1.1	83.0	11.2	62.0	10.1	63.0	12.0	70.0	13.1	285.0	9.5	5	100.0
