5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
11/22/2006 00:00	8.0	1.0	22.0	2.9	19.0	2.6	17.0	3.7	17.0	3.4	83.0	2.7	5	100.0
11/22/2006 00:05	10.0	1.2	17.0	2.3	20.0	3.4	19.0	3.2	13.0	2.3	79.0	2.5	5	100.0
11/22/2006 00:10	6.0	0.7	17.0	1.9	16.0	2.2	20.0	3.6	14.0	2.1	73.0	2.1	5	100.0
11/22/2006 00:15	7.0	0.7	16.0	2.0	16.0	1.9	16.0	2.6	16.0	2.3	71.0	1.9	5	100.0
11/22/2006 00:20	9.0	0.9	15.0	2.1	13.0	1.9	14.0	2.6	14.0	2.3	65.0	2.0	5	100.0
11/22/2006 00:25	7.0	0.7	12.0	1.6	10.0	1.5	11.0	1.6	12.0	1.9	52.0	1.5	5	100.0
11/22/2006 00:30	4.0	0.5	11.0	1.4	14.0	2.0	14.0	2.5	11.0	1.9	54.0	1.6	5	100.0
11/22/2006 00:35	1.0	0.1	8.0	1.1	6.0	0.8	5.0	1.3	4.0	1.2	24.0	0.9	5	100.0
11/22/2006 00:40	5.0	0.5	9.0	1.0	12.0	1.7	9.0	2.1	11.0	2.0	46.0	1.4	5	100.0
11/22/2006 00:45	5.0	0.5	9.0	1.2	9.0	1.9	13.0	2.4	9.0	1.5	45.0	1.5	5	100.0
11/22/2006 00:50	3.0	0.3	11.0	1.4	9.0	1.3	14.0	3.3	11.0	2.4	48.0	1.8	5	100.0
11/22/2006 00:55	4.0	0.4	11.0	1.4	10.0	1.6	10.0	2.4	13.0	1.9	48.0	1.5	5	100.0
11/22/2006 01:00	3.0	0.3	8.0	0.9	9.0	1.5	10.0	2.6	9.0	1.6	39.0	1.4	5	100.0
11/22/2006 01:05	3.0	0.3	6.0	0.8	11.0	1.5	12.0	2.3	12.0	2.1	44.0	1.4	5	100.0
11/22/2006 01:10	4.0	0.4	9.0	1.0	10.0	1.3	11.0	1.4	6.0	1.1	40.0	1.0	5	100.0
11/22/2006 01:15	1.0	0.1	4.0	0.4	3.0	0.5	5.0	1.0	6.0	1.1	19.0	0.6	5	100.0
11/22/2006 01:20	4.0	0.4	9.0	1.2	11.0	1.3	11.0	2.4	9.0	1.2	44.0	1.3	5	100.0
11/22/2006 01:25	1.0	0.1	5.0	0.6	11.0	1.7	10.0	2.1	8.0	1.5	35.0	1.2	5	100.0
11/22/2006 01:30	0.0	0.0	2.0	0.2	3.0	0.5	3.0	0.5	4.0	0.7	12.0	0.4	5	100.0
11/22/2006 01:35	0.0	0.0	5.0	0.5	9.0	1.1	9.0	1.9	4.0	0.8	27.0	0.9	5	100.0
11/22/2006 01:40	4.0	0.5	7.0	0.9	11.0	1.9	10.0	1.8	6.0	0.9	38.0	1.2	5	100.0
11/22/2006 01:45	1.0	0.2	7.0	0.8	9.0	1.5	9.0	2.3	6.0	0.9	32.0	1.2	5	100.0
11/22/2006 01:50	1.0	0.1	7.0	0.7	7.0	1.4	10.0	1.9	6.0	1.4	31.0	1.1	5	100.0
11/22/2006 01:55	2.0	0.2	6.0	0.8	7.0	0.9	8.0	1.6	6.0	1.2	29.0	0.9	5	100.0
11/22/2006 02:00	2.0	0.2	6.0	0.9	8.0	1.0	7.0	1.9	7.0	1.7	30.0	1.1	5	100.0
11/22/2006 02:05	0.0	0.0	2.0	0.3	5.0	0.7	5.0	1.1	5.0	1.1	17.0	0.6	5	100.0
11/22/2006 02:10	1.0	0.1	6.0	0.6	6.0	1.0	6.0	1.1	7.0	1.3	26.0	0.8	5	100.0
11/22/2006 02:15	1.0	0.1	2.0	0.2	1.0	0.3	4.0	0.9	5.0	0.6	13.0	0.4	5	100.0
11/22/2006 02:20	1.0	0.1	4.0	0.5	5.0	0.5	6.0	1.3	4.0	0.5	20.0	0.6	5	100.0
11/22/2006 02:25	0.0	0.0	5.0	0.5	3.0	0.5	6.0	0.8	3.0	0.8	17.0	0.5	5	100.0
11/22/2006 02:30	1.0	0.1	3.0	0.3	6.0	0.9	5.0	1.4	5.0	0.9	20.0	0.7	5	100.0
11/22/2006 02:35	1.0	0.1	2.0	0.3	2.0	0.3	4.0	0.6	3.0	0.8	12.0	0.4	5	100.0
11/22/2006 02:40	1.0	0.1	5.0	0.5	4.0	1.0	7.0	1.7	7.0	1.2	24.0	0.9	5	100.0
11/22/2006 02:45	0.0	0.0	7.0	0.8	5.0	0.8	5.0	1.1	4.0	0.8	21.0	0.7	5	100.0
11/22/2006 02:50	0.0	0.0	5.0	0.5	4.0	0.7	5.0	1.2	5.0	0.6	19.0	0.6	5	100.0
