5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
10/22/2006 00:00	17.0	2.1	23.0	2.7	24.0	3.3	22.0	3.1	17.0	2.6	103.0	2.8	5	100.0
10/22/2006 00:05	12.0	1.5	22.0	2.7	25.0	3.3	25.0	3.3	23.0	3.2	107.0	2.8	5	100.0
10/22/2006 00:10	12.0	1.5	25.0	3.3	25.0	3.3	23.0	3.0	17.0	2.7	102.0	2.8	5	100.0
10/22/2006 00:15	15.0	1.9	22.0	2.7	25.0	3.3	25.0	3.8	25.0	3.8	112.0	3.1	5	100.0
10/22/2006 00:20	14.0	1.7	23.0	2.9	21.0	2.8	25.0	4.1	21.0	3.3	104.0	3.0	5	100.0
10/22/2006 00:25	11.0	1.2	19.0	2.3	21.0	2.8	21.0	3.2	19.0	3.1	91.0	2.5	5	100.0
10/22/2006 00:30	13.0	1.5	21.0	2.7	19.0	2.5	23.0	3.4	17.0	2.9	93.0	2.6	5	100.0
10/22/2006 00:35	8.0	1.0	16.0	2.1	14.0	2.3	18.0	2.4	17.0	2.9	73.0	2.1	5	100.0
10/22/2006 00:40	8.0	0.8	21.0	2.8	17.0	2.4	15.0	2.4	15.0	2.2	76.0	2.1	5	100.0
10/22/2006 00:45	9.0	0.9	17.0	2.2	19.0	2.6	21.0	2.9	17.0	2.4	83.0	2.2	5	100.0
10/22/2006 00:50	11.0	1.3	19.0	2.2	19.0	2.7	22.0	2.9	21.0	3.1	92.0	2.4	5	100.0
10/22/2006 00:55	7.0	0.9	13.0	1.7	17.0	2.3	17.0	2.5	13.0	2.3	67.0	1.9	5	100.0
10/22/2006 01:00	9.0	0.9	14.0	2.0	19.0	2.3	19.0	2.8	14.0	2.3	75.0	2.1	5	100.0
10/22/2006 01:05	9.0	0.9	20.0	2.5	15.0	2.3	15.0	2.5	21.0	3.0	80.0	2.3	5	100.0
10/22/2006 01:10	7.0	0.8	18.0	1.9	19.0	2.5	14.0	2.1	14.0	2.0	72.0	1.8	5	100.0
10/22/2006 01:15	7.0	0.7	13.0	1.6	13.0	2.0	15.0	2.4	13.0	2.0	61.0	1.8	5	100.0
10/22/2006 01:20	4.0	0.5	8.0	0.9	8.0	1.0	7.0	1.2	6.0	0.9	33.0	0.9	5	100.0
10/22/2006 01:25	5.0	0.6	10.0	1.2	15.0	1.9	15.0	2.1	13.0	1.9	58.0	1.6	5	100.0
10/22/2006 01:30	7.0	0.7	15.0	1.8	17.0	2.5	14.0	2.8	13.0	1.9	66.0	2.0	5	100.0
10/22/2006 01:35	6.0	0.7	13.0	1.7	14.0	1.7	13.0	1.8	14.0	2.3	60.0	1.6	5	100.0
10/22/2006 01:40	9.0	1.3	16.0	2.3	17.0	2.2	15.0	2.3	13.0	2.2	70.0	2.1	5	100.0
10/22/2006 01:45	7.0	0.7	12.0	1.5	13.0	1.7	15.0	2.3	13.0	1.8	60.0	1.6	5	100.0
10/22/2006 01:50	5.0	0.5	11.0	1.3	14.0	2.0	16.0	2.6	11.0	1.3	57.0	1.5	5	100.0
10/22/2006 01:55	7.0	0.9	12.0	1.5	15.0	2.0	17.0	2.5	13.0	1.7	64.0	1.7	5	100.0
10/22/2006 02:00	7.0	0.7	14.0	1.6	15.0	1.8	14.0	1.9	13.0	1.8	63.0	1.6	5	100.0
10/22/2006 02:05	7.0	0.9	13.0	1.7	18.0	2.3	17.0	2.4	15.0	2.1	70.0	1.9	5	100.0
10/22/2006 02:10	5.0	0.6	11.0	1.3	14.0	2.0	14.0	1.8	8.0	1.0	52.0	1.3	5	100.0
10/22/2006 02:15	5.0	0.6	14.0	1.5	17.0	2.1	17.0	2.3	15.0	2.2	68.0	1.8	5	100.0
10/22/2006 02:20	6.0	0.8	15.0	1.9	14.0	1.9	19.0	2.5	12.0	1.7	66.0	1.8	5	100.0
10/22/2006 02:25	10.0	1.1	18.0	2.2	17.0	2.3	17.0	2.5	19.0	2.9	81.0	2.2	5	100.0
10/22/2006 02:30	6.0	0.6	9.0	1.1	12.0	1.5	14.0	1.9	12.0	1.9	53.0	1.4	5	100.0
10/22/2006 02:35	7.0	0.8	10.0	1.4	12.0	1.5	11.0	1.6	10.0	1.4	50.0	1.4	5	100.0
10/22/2006 02:40	3.0	0.3	12.0	1.5	13.0	1.7	17.0	2.1	13.0	1.9	58.0	1.5	5	100.0
10/22/2006 02:45	3.0	0.3	10.0	1.1	10.0	1.2	11.0	1.4	9.0	1.3	43.0	1.1	5	100.0
10/22/2006 02:50	5.0	0.6	12.0	1.4	12.0	1.6	10.0	1.3	11.0	1.8	50.0	1.4	5	100.0
10/22/2006 02:55	3.0	0.3	8.0	0.9	13.0	1.6	11.0	1.5	9.0	1.2	44.0	1.1	5	100.0
10/22/2006 03:00	1.0	0.1	11.0	1.1	10.0	1.3	9.0	1.3	8.0	1.1	39.0	1.0	5	100.0
10/22/2006 03:05	3.0	0.3	8.0	0.8	7.0	0.7	8.0	1.1	6.0	0.9	32.0	0.8	5	100.0
10/22/2006 03:10	1.0	0.1	7.0	0.7	9.0	1.0	9.0	1.1	7.0	1.1	33.0	0.8	5	100.0
10/22/2006 03:15	1.0	0.1	4.0	0.4	7.0	0.9	10.0	1.6	5.0	0.7	27.0	0.7	5	100.0
10/22/2006 03:20	0.0	0.0	5.0	0.5	1.0	0.2	2.0	0.3	3.0	0.5	11.0	0.3	5	100.0
10/22/2006 03:25	0.0	0.0	3.0	0.3	3.0	0.3	3.0	0.5	2.0	0.2	11.0	0.3	5	100.0
10/22/2006 03:30	0.0	0.0	2.0	0.2	3.0	0.3	5.0	0.5	2.0	0.3	12.0	0.3	5	100.0
10/22/2006 03:35	9.0	1.1	17.0	2.3	15.0	2.2	13.0	2.1	11.0	1.8	65.0	1.9	5	100.0
10/22/2006 03:40	8.0	0.9	11.0	1.5	13.0	1.6	9.0	1.5	12.0	2.1	53.0	1.5	5	100.0
10/22/2006 03:45	1.0	0.1	3.0	0.3	7.0	0.9	10.0	1.5	6.0	0.9	27.0	0.7	5	100.0
10/22/2006 03:50	0.0	0.0	7.0	0.7	5.0	0.7	9.0	1.2	5.0	0.6	26.0	0.6	5	100.0
10/22/2006 03:55	0.0	0.0	7.0	0.7	7.0	0.9	8.0	1.1	4.0	0.7	26.0	0.7	5	100.0
10/22/2006 04:00	0.0	0.0	3.0	0.3	6.0	0.8	5.0	0.9	3.0	0.4	17.0	0.5	5	100.0
10/22/2006 04:05	1.0	0.1	5.0	0.6	3.0	0.3	5.0	0.7	5.0	0.7	19.0	0.5	5	100.0
10/22/2006 04:10	0.0	0.0	3.0	0.3	5.0	0.5	6.0	1.2	3.0	0.6	17.0	0.5	5	100.0
10/22/2006 04:15	1.0	0.1	5.0	0.5	5.0	0.5	9.0	1.4	4.0	0.7	24.0	0.7	5	100.0
10/22/2006 04:20	1.0	0.1	4.0	0.5	6.0	0.7	6.0	1.1	5.0	1.1	22.0	0.7	5	100.0
10/22/2006 04:25	0.0	0.0	5.0	0.5	5.0	0.5	6.0	0.9	4.0	0.8	20.0	0.6	5	100.0
10/22/2006 04:30	1.0	0.1	3.0	0.3	3.0	0.4	5.0	0.5	5.0	0.7	17.0	0.4	5	100.0
10/22/2006 04:35	1.0	0.1	7.0	0.9	6.0	0.9	5.0	0.9	4.0	0.5	23.0	0.7	5	100.0
10/22/2006 04:40	0.0	0.0	3.0	0.3	3.0	0.5	4.0	0.6	3.0	0.3	13.0	0.4	5	100.0
10/22/2006 04:45	0.0	0.0	4.0	0.4	6.0	0.8	4.0	0.5	5.0	0.6	19.0	0.5	5	100.0
10/22/2006 04:50	0.0	0.0	1.0	0.1	3.0	0.3	4.0	0.5	2.0	0.3	10.0	0.3	5	100.0
10/22/2006 04:55	0.0	0.0	5.0	0.6	7.0	0.8	7.0	0.9	4.0	0.6	23.0	0.6	5	100.0
