5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
09/08/2006 00:00	5.0	0.5	12.0	1.5	14.0	2.0	12.0	2.1	13.0	2.5	56.0	1.7	5	100.0
09/08/2006 00:05	3.0	0.3	7.0	0.9	9.0	1.3	6.0	0.9	6.0	1.0	31.0	0.9	5	100.0
09/08/2006 00:10	5.0	0.5	15.0	1.9	13.0	1.9	15.0	3.5	9.0	1.5	57.0	1.9	5	100.0
09/08/2006 00:15	6.0	0.8	16.0	1.8	14.0	2.3	13.0	2.6	12.0	1.7	61.0	1.8	5	100.0
09/08/2006 00:20	8.0	0.8	11.0	1.3	14.0	2.3	11.0	2.2	13.0	2.2	57.0	1.8	5	100.0
09/08/2006 00:25	5.0	0.6	13.0	1.5	11.0	1.9	10.0	1.9	7.0	1.2	46.0	1.4	5	100.0
09/08/2006 00:30	4.0	0.4	8.0	0.9	9.0	1.4	11.0	1.7	7.0	1.3	39.0	1.1	5	100.0
09/08/2006 00:35	5.0	0.5	11.0	1.3	14.0	1.9	12.0	2.4	9.0	2.0	51.0	1.6	5	100.0
09/08/2006 00:40	3.0	0.3	12.0	1.4	13.0	1.5	10.0	1.9	9.0	1.1	47.0	1.3	5	100.0
09/08/2006 00:45	1.0	0.1	8.0	0.9	9.0	1.3	9.0	1.9	9.0	1.7	36.0	1.2	5	100.0
09/08/2006 00:50	2.0	0.2	11.0	1.1	11.0	1.9	9.0	1.6	10.0	1.6	43.0	1.3	5	100.0
09/08/2006 00:55	2.0	0.2	5.0	0.6	9.0	1.3	8.0	1.7	7.0	1.1	31.0	1.0	5	100.0
09/08/2006 01:00	3.0	0.3	8.0	0.9	10.0	1.3	11.0	1.6	8.0	1.4	40.0	1.1	5	100.0
09/08/2006 01:05	1.0	0.1	1.0	0.1	4.0	0.4	5.0	1.1	4.0	0.5	15.0	0.5	5	100.0
09/08/2006 01:10	3.0	0.3	8.0	1.0	7.0	1.5	6.0	1.4	8.0	1.1	32.0	1.1	5	100.0
09/08/2006 01:15	0.0	0.0	3.0	0.3	7.0	1.0	4.0	0.8	3.0	0.5	17.0	0.5	5	100.0
09/08/2006 01:20	5.0	0.6	11.0	1.4	11.0	1.6	11.0	2.1	10.0	1.8	48.0	1.5	5	100.0
09/08/2006 01:25	2.0	0.2	9.0	1.0	6.0	1.3	8.0	1.2	4.0	0.6	29.0	0.9	5	100.0
09/08/2006 01:30	0.0	0.0	3.0	0.4	5.0	0.6	5.0	0.9	3.0	0.5	16.0	0.5	5	100.0
09/08/2006 01:35	1.0	0.1	6.0	0.7	4.0	0.7	7.0	1.5	8.0	1.5	26.0	0.9	5	100.0
09/08/2006 01:40	1.0	0.1	5.0	0.9	8.0	1.0	7.0	2.4	6.0	1.3	27.0	1.1	5	100.0
09/08/2006 01:45	4.0	0.4	8.0	0.8	5.0	0.7	6.0	0.8	6.0	0.9	29.0	0.7	5	100.0
09/08/2006 01:50	3.0	0.3	7.0	0.7	7.0	1.1	9.0	1.9	5.0	0.9	31.0	1.0	5	100.0
09/08/2006 01:55	1.0	0.1	11.0	1.2	9.0	1.0	8.0	2.1	4.0	0.9	33.0	1.0	5	100.0
09/08/2006 02:00	2.0	0.2	9.0	0.9	9.0	0.9	8.0	1.8	6.0	1.3	34.0	1.0	5	100.0
09/08/2006 02:05	1.0	0.1	2.0	0.2	6.0	0.9	6.0	1.4	7.0	1.3	22.0	0.8	5	100.0
09/08/2006 02:10	2.0	0.2	4.0	0.5	9.0	1.2	6.0	1.7	5.0	1.1	26.0	0.9	5	100.0
09/08/2006 02:15	1.0	0.1	5.0	0.5	8.0	1.3	9.0	1.4	5.0	1.0	28.0	0.9	5	100.0
09/08/2006 02:20	0.0	0.0	3.0	0.3	9.0	1.1	7.0	2.0	5.0	0.9	24.0	0.9	5	100.0
09/08/2006 02:25	1.0	0.1	5.0	0.5	7.0	0.9	8.0	1.8	7.0	1.3	28.0	0.9	5	100.0
09/08/2006 02:30	1.0	0.1	5.0	0.6	6.0	0.7	6.0	1.1	6.0	1.2	24.0	0.7	5	100.0
09/08/2006 02:35	0.0	0.0	3.0	0.3	4.0	0.6	6.0	1.0	10.0	2.2	23.0	0.8	5	100.0
09/08/2006 02:40	1.0	0.1	7.0	0.7	6.0	0.9	7.0	1.5	3.0	0.8	24.0	0.8	5	100.0
09/08/2006 02:45	0.0	0.0	2.0	0.2	6.0	0.9	7.0	1.1	1.0	0.5	16.0	0.5	5	100.0
09/08/2006 02:50	1.0	0.2	3.0	0.3	5.0	0.6	7.0	1.8	5.0	1.4	21.0	0.9	5	100.0
09/08/2006 02:55	0.0	0.0	5.0	0.5	6.0	0.8	5.0	1.5	6.0	1.2	22.0	0.8	5	100.0
09/08/2006 03:00	1.0	0.1	2.0	0.3	2.0	0.3	3.0	0.6	1.0	0.2	9.0	0.3	5	100.0
09/08/2006 03:05	0.0	0.0	1.0	0.1	4.0	0.6	3.0	0.9	3.0	0.4	11.0	0.4	5	100.0
09/08/2006 03:10	1.0	0.1	4.0	0.4	4.0	0.4	5.0	0.9	5.0	1.3	19.0	0.6	5	100.0
09/08/2006 03:15	0.0	0.0	2.0	0.3	2.0	0.2	5.0	1.4	3.0	0.4	12.0	0.5	5	100.0
09/08/2006 03:20	1.0	0.1	3.0	0.3	3.0	0.4	4.0	1.1	4.0	0.7	15.0	0.5	5	100.0
09/08/2006 03:25	0.0	0.0	3.0	0.4	7.0	1.7	5.0	1.7	4.0	0.4	19.0	0.8	5	100.0
09/08/2006 03:30	1.0	0.1	4.0	0.4	5.0	0.9	5.0	1.7	5.0	0.9	20.0	0.8	5	100.0
09/08/2006 03:35	0.0	0.0	2.0	0.2	5.0	0.8	5.0	1.1	7.0	2.3	19.0	0.9	5	100.0
09/08/2006 03:40	1.0	0.1	4.0	0.5	4.0	0.4	7.0	1.9	5.0	1.1	21.0	0.8	5	100.0
09/08/2006 03:45	0.0	0.0	2.0	0.3	4.0	0.4	3.0	0.5	4.0	0.6	13.0	0.4	5	100.0
09/08/2006 03:50	1.0	0.1	3.0	0.5	5.0	0.9	6.0	1.8	4.0	1.1	19.0	0.9	5	100.0
09/08/2006 03:55	0.0	0.0	4.0	0.4	4.0	0.5	6.0	1.4	5.0	0.9	19.0	0.7	5	100.0
09/08/2006 04:00	0.0	0.0	2.0	0.2	0.0	0.0	7.0	1.3	7.0	1.0	16.0	0.5	5	100.0
09/08/2006 04:05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 04:55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 05:55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 06:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 06:05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 06:10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
09/08/2006 06:15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	100.0
