5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
01/01/2006 00:00	30.0	3.3	38.0	5.1	31.0	4.3	36.0	5.7	22.0	4.5	157.0	4.6	5	0.0
01/01/2006 00:05	27.0	3.0	37.0	4.7	28.0	3.9	34.0	5.1	20.0	4.3	146.0	4.2	5	0.0
01/01/2006 00:10	25.0	2.8	38.0	4.8	27.0	3.7	31.0	4.8	24.0	4.8	145.0	4.1	5	0.0
01/01/2006 00:15	27.0	2.8	38.0	4.7	29.0	4.1	35.0	5.4	25.0	4.9	154.0	4.4	5	0.0
01/01/2006 00:20	25.0	2.7	40.0	4.9	30.0	4.0	31.0	4.9	21.0	4.3	147.0	4.1	5	0.0
01/01/2006 00:25	27.0	3.0	36.0	4.4	26.0	3.8	32.0	5.1	23.0	4.7	144.0	4.2	5	0.0
01/01/2006 00:30	25.0	2.9	36.0	4.3	30.0	4.3	33.0	4.8	27.0	4.4	151.0	4.1	5	0.0
01/01/2006 00:35	18.0	2.1	34.0	4.0	29.0	4.1	32.0	4.8	27.0	4.1	140.0	3.8	5	0.0
01/01/2006 00:40	18.0	2.1	29.0	3.8	29.0	4.1	30.0	4.6	31.0	4.8	137.0	3.8	5	0.0
01/01/2006 00:45	14.0	1.6	25.0	3.1	25.0	3.4	24.0	3.7	24.0	3.8	112.0	3.1	5	0.0
01/01/2006 00:50	18.0	2.1	28.0	3.6	29.0	3.9	28.0	4.4	26.0	3.9	129.0	3.6	5	0.0
01/01/2006 00:55	18.0	2.0	28.0	3.4	32.0	4.5	33.0	4.6	28.0	4.1	139.0	3.7	5	0.0
01/01/2006 01:00	19.0	2.2	25.0	3.2	29.0	3.9	29.0	4.1	29.0	4.2	131.0	3.5	5	0.0
01/01/2006 01:05	11.0	1.2	25.0	3.1	27.0	3.7	30.0	4.1	23.0	3.4	116.0	3.1	5	0.0
01/01/2006 01:10	13.0	1.5	21.0	2.7	21.0	3.3	23.0	3.0	22.0	3.4	100.0	2.7	5	0.0
01/01/2006 01:15	9.0	0.9	21.0	2.8	24.0	3.1	26.0	3.7	24.0	3.5	104.0	2.8	5	0.0
01/01/2006 01:20	11.0	1.1	20.0	2.6	24.0	3.0	23.0	3.6	25.0	3.6	103.0	2.8	5	0.0
01/01/2006 01:25	11.0	1.4	22.0	2.8	23.0	3.1	24.0	3.4	25.0	3.8	105.0	2.9	5	0.0
01/01/2006 01:30	13.0	1.4	26.0	3.1	25.0	3.2	23.0	3.1	20.0	3.1	107.0	2.8	5	0.0
01/01/2006 01:35	11.0	1.4	22.0	2.8	23.0	3.0	23.0	3.6	22.0	3.4	101.0	2.8	5	0.0
01/01/2006 01:40	10.0	1.2	21.0	2.4	22.0	2.9	22.0	3.4	20.0	2.8	95.0	2.5	5	0.0
01/01/2006 01:45	10.0	1.2	19.0	2.4	22.0	2.8	26.0	3.6	19.0	2.6	96.0	2.5	5	0.0
01/01/2006 01:50	10.0	1.0	16.0	1.9	24.0	3.0	20.0	3.1	21.0	3.0	91.0	2.4	5	0.0
01/01/2006 01:55	10.0	1.0	20.0	2.5	19.0	2.5	20.0	2.7	20.0	2.8	89.0	2.3	5	0.0
01/01/2006 02:00	10.0	1.3	20.0	2.4	25.0	3.0	22.0	3.3	17.0	2.7	94.0	2.5	5	0.0
01/01/2006 02:05	9.0	0.9	19.0	2.4	22.0	2.6	21.0	2.9	18.0	2.8	89.0	2.3	5	0.0
01/01/2006 02:10	15.0	1.6	21.0	2.4	24.0	3.1	23.0	3.2	22.0	3.1	105.0	2.7	5	0.0
01/01/2006 02:15	14.0	1.7	21.0	2.5	23.0	2.7	26.0	3.4	22.0	3.1	106.0	2.7	5	0.0
01/01/2006 02:20	13.0	1.5	22.0	2.8	21.0	3.1	20.0	2.6	20.0	3.0	96.0	2.6	5	0.0
01/01/2006 02:25	12.0	1.2	18.0	2.2	25.0	3.2	25.0	3.4	20.0	2.8	100.0	2.5	5	0.0
01/01/2006 02:30	8.0	0.8	17.0	2.2	21.0	2.7	21.0	3.3	18.0	2.9	85.0	2.4	5	0.0
01/01/2006 02:35	9.0	0.9	19.0	2.2	22.0	2.7	23.0	3.5	17.0	2.5	90.0	2.3	5	0.0
01/01/2006 02:40	11.0	1.1	15.0	1.7	20.0	2.4	19.0	3.0	19.0	2.5	84.0	2.1	5	0.0
01/01/2006 02:45	7.0	0.7	17.0	2.0	22.0	2.8	17.0	2.1	16.0	2.3	79.0	2.0	5	0.0
01/01/2006 02:50	11.0	1.1	16.0	1.8	16.0	2.1	17.0	2.5	17.0	2.3	77.0	1.9	5	0.0
01/01/2006 02:55	8.0	0.9	14.0	1.7	16.0	1.9	15.0	2.2	12.0	1.9	65.0	1.7	5	0.0
01/01/2006 03:00	7.0	0.7	16.0	1.7	13.0	1.6	16.0	1.8	9.0	1.2	61.0	1.4	5	0.0
01/01/2006 03:05	3.0	0.3	12.0	1.2	13.0	1.5	13.0	1.6	12.0	1.6	53.0	1.2	5	0.0
01/01/2006 03:10	2.0	0.2	10.0	1.1	9.0	1.3	11.0	1.5	10.0	1.9	42.0	1.2	5	0.0
