5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
04/22/2006 00:00	19.0	76.5	34.0	74.0	34.0	72.0	33.0	69.2	34.0	64.5	154.0	70.7	5	100.0
04/22/2006 00:05	21.0	74.3	37.0	74.2	34.0	69.9	33.0	65.0	28.0	62.4	153.0	69.1	5	100.0
04/22/2006 00:10	25.0	78.1	33.0	76.8	33.0	71.4	38.0	64.8	29.0	64.4	158.0	70.7	5	100.0
04/22/2006 00:15	23.0	78.0	40.0	76.2	38.0	71.5	29.0	61.5	24.0	64.0	154.0	70.6	5	100.0
04/22/2006 00:20	17.0	77.6	32.0	74.1	28.0	73.1	28.0	62.3	30.0	64.2	135.0	69.7	5	100.0
04/22/2006 00:25	21.0	76.6	23.0	75.2	22.0	73.4	18.0	60.6	19.0	64.6	103.0	70.6	5	100.0
04/22/2006 00:30	16.0	76.7	26.0	77.3	22.0	74.4	24.0	65.9	21.0	61.9	109.0	71.1	5	100.0
04/22/2006 00:35	11.0	76.3	25.0	77.3	29.0	72.4	30.0	67.4	22.0	62.6	117.0	70.7	5	100.0
04/22/2006 00:40	13.0	76.3	29.0	74.8	31.0	73.6	31.0	66.0	23.0	65.7	127.0	70.9	5	100.0
04/22/2006 00:45	12.0	73.9	26.0	74.6	30.0	69.4	33.0	65.0	26.0	66.2	127.0	69.1	5	100.0
04/22/2006 00:50	12.0	75.8	28.0	74.9	33.0	76.2	27.0	68.7	25.0	64.6	125.0	71.9	5	100.0
04/22/2006 00:55	12.0	74.9	17.0	75.4	26.0	76.4	24.0	73.3	25.0	70.6	104.0	74.0	5	100.0
04/22/2006 01:00	7.0	75.9	22.0	76.4	20.0	74.3	25.0	75.6	21.0	67.5	95.0	73.7	5	100.0
04/22/2006 01:05	8.0	76.4	21.0	75.9	25.0	70.5	29.0	64.8	21.0	68.8	104.0	70.1	5	100.0
04/22/2006 01:10	9.0	76.7	22.0	76.6	18.0	69.3	22.0	65.9	23.0	68.2	94.0	70.7	5	100.0
04/22/2006 01:15	11.0	76.3	20.0	75.1	25.0	71.4	24.0	69.0	21.0	67.0	101.0	71.2	5	100.0
04/22/2006 01:20	8.0	76.3	20.0	76.3	23.0	74.2	21.0	68.4	23.0	69.5	95.0	72.4	5	100.0
04/22/2006 01:25	11.0	76.8	11.0	75.7	14.0	72.5	18.0	61.3	15.0	66.0	69.0	69.4	5	100.0
04/22/2006 01:30	7.0	76.9	22.0	72.5	20.0	71.6	21.0	63.7	16.0	64.6	86.0	69.0	5	100.0
04/22/2006 01:35	8.0	76.9	20.0	73.8	23.0	72.0	21.0	64.9	17.0	66.2	89.0	70.1	5	100.0
04/22/2006 01:40	9.0	76.7	22.0	76.2	22.0	70.2	23.0	68.1	20.0	67.0	96.0	71.0	5	100.0
04/22/2006 01:45	12.0	77.0	17.0	75.7	25.0	70.2	22.0	67.6	10.0	65.6	86.0	71.0	5	100.0
04/22/2006 01:50	12.0	76.7	16.0	76.2	21.0	71.6	27.0	71.9	12.0	64.4	88.0	72.2	5	100.0
04/22/2006 01:55	9.0	76.9	15.0	73.6	21.0	72.2	19.0	73.4	21.0	65.1	85.0	71.5	5	100.0
04/22/2006 02:00	7.0	76.8	13.0	72.3	19.0	70.9	13.0	68.6	17.0	64.7	69.0	69.8	5	100.0
04/22/2006 02:05	11.0	76.5	24.0	71.1	23.0	68.8	20.0	64.5	25.0	66.9	103.0	68.9	5	100.0
04/22/2006 02:10	5.0	76.6	22.0	72.8	16.0	70.7	18.0	70.2	21.0	70.2	82.0	71.4	5	100.0
