5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
08/15/2006 00:00	9.0	76.5	15.0	74.0	15.0	72.0	17.0	69.2	14.0	64.5	70.0	70.8	5	0.0
08/15/2006 00:05	6.0	76.4	16.0	73.7	18.0	70.4	15.0	69.8	9.0	64.7	64.0	70.8	5	0.0
08/15/2006 00:10	6.0	76.3	13.0	73.7	15.0	70.1	11.0	69.9	12.0	63.9	57.0	70.2	5	0.0
08/15/2006 00:15	7.0	76.6	16.0	72.9	15.0	71.5	13.0	66.3	11.0	63.2	62.0	69.9	5	0.0
08/15/2006 00:20	6.0	76.6	14.0	72.7	13.0	72.0	13.0	67.5	11.0	63.9	57.0	70.1	5	0.0
08/15/2006 00:25	7.0	76.3	15.0	73.1	15.0	72.3	14.0	66.3	11.0	63.4	62.0	70.0	5	0.0
08/15/2006 00:30	5.0	76.2	15.0	73.0	15.0	72.2	11.0	63.3	12.0	63.2	58.0	69.2	5	0.0
08/15/2006 00:35	2.0	76.4	7.0	73.4	7.0	71.9	8.0	64.2	5.0	63.9	29.0	69.1	5	0.0
08/15/2006 00:40	5.0	76.4	12.0	74.4	12.0	71.8	10.0	63.5	9.0	64.4	48.0	69.8	5	0.0
08/15/2006 00:45	1.0	76.3	7.0	74.2	6.0	71.7	8.0	64.0	7.0	63.3	29.0	68.3	5	0.0
08/15/2006 00:50	3.0	76.5	9.0	73.8	7.0	72.2	9.0	66.5	9.0	63.9	37.0	69.5	5	0.0
08/15/2006 00:55	3.0	76.5	8.0	73.8	9.0	72.6	8.0	63.7	8.0	62.3	36.0	68.9	5	0.0
08/15/2006 01:00	1.0	76.1	6.0	73.9	6.0	71.4	6.0	66.3	5.0	63.1	24.0	69.2	5	0.0
08/15/2006 01:05	1.0	76.5	5.0	73.8	7.0	72.4	5.0	67.6	5.0	63.8	23.0	70.0	5	0.0
08/15/2006 01:10	2.0	76.4	6.0	74.0	6.0	71.7	8.0	67.4	7.0	63.8	29.0	69.4	5	0.0
08/15/2006 01:15	1.0	76.3	4.0	73.9	4.0	71.4	4.0	68.3	2.0	64.0	15.0	70.6	5	0.0
08/15/2006 01:20	2.0	76.2	6.0	73.8	8.0	71.6	6.0	66.5	4.0	64.1	26.0	70.1	5	0.0
