5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
12/08/2006 00:00	11.0	76.5	17.0	74.0	18.0	72.0	19.0	69.2	15.0	64.5	80.0	71.0	5	100.0
12/08/2006 00:05	9.0	76.7	17.0	74.6	16.0	67.8	15.0	65.9	16.0	64.4	73.0	69.3	5	100.0
12/08/2006 00:10	3.0	76.6	7.0	74.1	7.0	70.1	8.0	67.8	8.0	64.6	33.0	69.6	5	100.0
12/08/2006 00:15	7.0	76.6	12.0	74.7	12.0	71.8	12.0	66.4	12.0	64.6	55.0	70.3	5	100.0
12/08/2006 00:20	4.0	76.6	9.0	74.5	6.0	70.2	6.0	66.9	6.0	64.8	31.0	70.6	5	100.0
12/08/2006 00:25	5.0	76.5	14.0	74.3	12.0	70.5	8.0	66.3	14.0	64.3	53.0	69.8	5	100.0
12/08/2006 00:30	7.0	76.5	11.0	73.9	11.0	71.1	11.0	65.9	12.0	60.9	52.0	69.0	5	100.0
12/08/2006 00:35	6.0	76.5	10.0	73.8	11.0	71.8	12.0	66.0	9.0	61.9	48.0	69.5	5	100.0
12/08/2006 00:40	3.0	76.8	11.0	74.3	14.0	71.8	13.0	64.1	8.0	62.1	49.0	69.0	5	100.0
12/08/2006 00:45	3.0	76.8	10.0	73.9	13.0	70.3	13.0	63.9	11.0	61.5	50.0	67.8	5	100.0
12/08/2006 00:50	4.0	76.7	13.0	74.4	12.0	70.9	10.0	65.3	8.0	62.2	47.0	69.7	5	100.0
12/08/2006 00:55	1.0	76.5	9.0	73.9	9.0	70.9	9.0	64.3	7.0	63.6	35.0	68.7	5	100.0
12/08/2006 01:00	2.0	76.5	9.0	74.0	11.0	71.2	11.0	60.0	7.0	64.1	40.0	67.8	5	100.0
12/08/2006 01:05	4.0	76.5	10.0	73.9	12.0	69.0	12.0	65.5	12.0	60.1	50.0	67.6	5	100.0
12/08/2006 01:10	4.0	76.7	10.0	73.6	9.0	70.5	10.0	64.7	9.0	62.7	42.0	68.8	5	100.0
12/08/2006 01:15	1.0	77.0	6.0	73.4	7.0	70.5	7.0	64.8	5.0	63.8	26.0	68.6	5	100.0
12/08/2006 01:20	1.0	76.3	10.0	73.6	9.0	69.7	9.0	63.6	7.0	62.7	36.0	68.1	5	100.0
12/08/2006 01:25	3.0	76.5	9.0	74.0	11.0	68.1	7.0	61.6	7.0	63.0	37.0	68.0	5	100.0
12/08/2006 01:30	1.0	76.3	6.0	74.3	7.0	69.5	9.0	63.0	4.0	63.7	27.0	67.8	5	100.0
12/08/2006 01:35	3.0	76.6	8.0	73.8	8.0	70.4	7.0	64.0	5.0	63.3	31.0	69.3	5	100.0
12/08/2006 01:40	1.0	76.4	5.0	73.4	8.0	71.5	6.0	65.5	6.0	63.1	26.0	68.7	5	100.0
12/08/2006 01:45	0.0	76.4	4.0	73.8	8.0	71.1	6.0	66.5	7.0	63.4	25.0	68.3	5	100.0
12/08/2006 01:50	4.0	76.5	8.0	73.1	9.0	72.0	10.0	63.7	9.0	64.6	40.0	68.9	5	100.0
12/08/2006 01:55	2.0	76.5	7.0	73.3	10.0	71.3	9.0	60.3	7.0	64.7	35.0	67.8	5	100.0
12/08/2006 02:00	2.0	76.4	9.0	73.6	7.0	71.8	8.0	63.4	4.0	64.1	30.0	69.4	5	100.0
12/08/2006 02:05	1.0	76.2	6.0	74.0	7.0	71.6	8.0	57.7	3.0	64.1	25.0	67.0	5	100.0
12/08/2006 02:10	2.0	76.3	6.0	73.9	7.0	71.5	9.0	60.8	5.0	63.1	29.0	67.6	5	100.0
12/08/2006 02:15	2.0	76.3	5.0	73.8	8.0	72.0	6.0	64.9	6.0	63.8	27.0	69.3	5	100.0
12/08/2006 02:20	2.0	76.3	10.0	73.8	8.0	71.4	6.0	60.7	3.0	63.7	29.0	69.6	5	100.0
