5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
01/29/2006 00:00	14.0	72.9	15.0	70.5	13.0	68.6	12.0	66.0	8.0	61.5	62.0	68.6	5	0.0
01/29/2006 00:05	14.0	73.0	15.0	70.6	13.0	68.7	12.0	66.1	8.0	61.6	62.0	68.7	5	0.0
01/29/2006 00:10	13.0	72.7	14.0	70.3	13.0	68.4	12.0	65.8	7.0	61.3	59.0	68.4	5	0.0
01/29/2006 00:15	13.0	72.6	14.0	70.2	12.0	68.3	11.0	65.7	7.0	61.2	57.0	68.4	5	0.0
01/29/2006 00:20	12.0	72.8	14.0	70.4	12.0	68.5	11.0	65.9	7.0	61.4	56.0	68.5	5	0.0
01/29/2006 00:25	12.0	72.6	14.0	70.2	12.0	68.3	11.0	65.7	7.0	61.2	56.0	68.3	5	0.0
01/29/2006 00:30	12.0	72.9	13.0	70.5	12.0	68.6	11.0	66.0	7.0	61.5	55.0	68.6	5	0.0
01/29/2006 00:35	12.0	72.9	13.0	70.5	12.0	68.6	11.0	66.0	7.0	61.5	55.0	68.6	5	0.0
01/29/2006 00:40	12.0	72.8	13.0	70.4	11.0	68.5	10.0	65.9	7.0	61.4	53.0	68.5	5	0.0
01/29/2006 00:45	12.0	72.8	13.0	70.4	11.0	68.5	10.0	65.9	7.0	61.4	53.0	68.5	5	0.0
01/29/2006 00:50	12.0	73.0	13.0	70.6	11.0	68.7	10.0	66.1	7.0	61.6	53.0	68.7	5	0.0
01/29/2006 00:55	12.0	72.9	13.0	70.5	12.0	68.6	11.0	66.0	7.0	61.5	55.0	68.6	5	0.0
01/29/2006 01:00	11.0	73.1	12.0	70.7	11.0	68.8	10.0	66.2	6.0	61.7	50.0	68.8	5	0.0
01/29/2006 01:05	11.0	73.1	12.0	70.7	11.0	68.8	10.0	66.2	6.0	61.7	50.0	68.8	5	0.0
01/29/2006 01:10	11.0	72.9	12.0	70.5	11.0	68.6	10.0	66.0	6.0	61.5	50.0	68.6	5	0.0
01/29/2006 01:15	11.0	73.0	12.0	70.6	11.0	68.7	10.0	66.1	6.0	61.6	50.0	68.7	5	0.0
01/29/2006 01:20	11.0	73.0	12.0	70.6	10.0	68.7	9.0	66.1	6.0	61.6	48.0	68.8	5	0.0
01/29/2006 01:25	11.0	72.6	12.0	70.2	10.0	68.3	10.0	65.7	6.0	61.2	49.0	68.3	5	0.0
01/29/2006 01:30	11.0	73.0	12.0	70.6	10.0	68.7	9.0	66.1	6.0	61.6	48.0	68.8	5	0.0
01/29/2006 01:35	10.0	73.1	11.0	70.7	10.0	68.8	9.0	66.2	6.0	61.7	46.0	68.8	5	0.0
01/29/2006 01:40	11.0	73.0	12.0	70.6	10.0	68.7	10.0	66.1	6.0	61.6	49.0	68.7	5	0.0
01/29/2006 01:45	11.0	72.6	12.0	70.2	10.0	68.3	9.0	65.7	6.0	61.2	48.0	68.4	5	0.0
01/29/2006 01:50	10.0	72.7	11.0	70.3	10.0	68.4	9.0	65.8	6.0	61.3	46.0	68.4	5	0.0
01/29/2006 01:55	10.0	73.1	11.0	70.7	10.0	68.8	9.0	66.2	6.0	61.7	46.0	68.8	5	0.0
01/29/2006 02:00	11.0	73.2	12.0	70.8	10.0	68.9	10.0	66.2	6.0	61.7	49.0	68.9	5	0.0
01/29/2006 02:05	10.0	73.1	11.0	70.7	10.0	68.8	9.0	66.2	6.0	61.7	46.0	68.8	5	0.0
01/29/2006 02:10	10.0	73.1	11.0	70.7	10.0	68.8	9.0	66.2	6.0	61.7	46.0	68.8	5	0.0
01/29/2006 02:15	10.0	73.1	11.0	70.7	10.0	68.8	9.0	66.2	6.0	61.7	46.0	68.8	5	0.0
01/29/2006 02:20	10.0	72.8	11.0	70.4	10.0	68.5	9.0	65.9	6.0	61.4	46.0	68.5	5	0.0
01/29/2006 02:25	10.0	72.8	11.0	70.4	10.0	68.5	9.0	65.9	6.0	61.4	46.0	68.5	5	0.0
01/29/2006 02:30	10.0	72.9	10.0	70.5	9.0	68.6	8.0	66.0	5.0	61.5	42.0	68.7	5	0.0
01/29/2006 02:35	10.0	72.9	11.0	70.5	10.0	68.6	9.0	66.0	6.0	61.5	46.0	68.6	5	0.0
01/29/2006 02:40	10.0	72.9	11.0	70.5	9.0	68.6	9.0	66.0	6.0	61.5	45.0	68.6	5	0.0
01/29/2006 02:45	10.0	73.2	10.0	70.8	9.0	68.9	8.0	66.2	5.0	61.7	42.0	69.0	5	0.0
01/29/2006 02:50	10.0	72.8	10.0	70.4	9.0	68.5	8.0	65.9	5.0	61.4	42.0	68.6	5	0.0
