5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
07/15/2006 00:00	10.0	76.5	27.0	74.0	27.0	72.0	23.0	69.2	20.0	64.5	107.0	70.9	5	100.0
07/15/2006 00:05	17.0	76.2	27.0	76.0	24.0	73.3	27.0	73.1	23.0	65.0	118.0	72.7	5	100.0
07/15/2006 00:10	16.0	74.4	22.0	74.9	23.0	69.9	21.0	70.0	20.0	65.7	102.0	70.9	5	100.0
07/15/2006 00:15	17.0	74.3	24.0	75.4	25.0	70.1	21.0	66.8	25.0	64.9	112.0	70.1	5	100.0
07/15/2006 00:20	17.0	75.1	27.0	74.5	25.0	70.2	21.0	63.1	17.0	64.2	107.0	69.7	5	100.0
07/15/2006 00:25	13.0	76.1	23.0	74.1	21.0	68.2	23.0	63.3	19.0	61.0	99.0	68.1	5	100.0
07/15/2006 00:30	7.0	76.2	13.0	74.7	10.0	70.4	12.0	65.1	10.0	62.3	52.0	69.5	5	100.0
07/15/2006 00:35	12.0	76.5	21.0	73.7	27.0	71.0	21.0	69.7	17.0	64.2	98.0	70.8	5	100.0
07/15/2006 00:40	11.0	76.9	19.0	75.6	16.0	70.7	21.0	70.4	15.0	62.1	82.0	71.0	5	100.0
07/15/2006 00:45	7.0	76.8	17.0	74.4	17.0	70.0	21.0	68.0	17.0	64.5	79.0	69.8	5	100.0
07/15/2006 00:50	14.0	77.0	21.0	75.2	20.0	70.4	19.0	63.6	16.0	65.8	90.0	70.3	5	100.0
07/15/2006 00:55	9.0	76.3	16.0	75.7	19.0	71.5	17.0	68.2	16.0	66.8	77.0	71.2	5	100.0
07/15/2006 01:00	7.0	76.3	15.0	74.9	13.0	71.2	16.0	67.9	11.0	65.6	62.0	70.8	5	100.0
07/15/2006 01:05	6.0	76.3	15.0	74.5	17.0	70.4	16.0	69.0	14.0	66.2	68.0	70.6	5	100.0
07/15/2006 01:10	8.0	76.2	16.0	75.3	11.0	68.3	15.0	66.1	13.0	66.8	63.0	70.2	5	100.0
07/15/2006 01:15	9.0	75.6	21.0	75.9	14.0	66.6	14.0	67.5	11.0	66.1	69.0	70.7	5	100.0
07/15/2006 01:20	5.0	75.9	12.0	74.8	14.0	70.6	12.0	68.6	10.0	64.8	53.0	70.5	5	100.0
07/15/2006 01:25	5.0	76.0	15.0	73.7	12.0	70.4	10.0	68.4	13.0	64.8	55.0	70.1	5	100.0
07/15/2006 01:30	8.0	76.1	16.0	74.3	22.0	70.4	16.0	68.0	13.0	63.7	75.0	70.2	5	100.0
07/15/2006 01:35	5.0	76.1	14.0	73.6	17.0	71.4	15.0	69.1	14.0	64.7	65.0	70.3	5	100.0
07/15/2006 01:40	6.0	76.2	13.0	72.5	17.0	71.5	15.0	70.4	13.0	64.4	64.0	70.4	5	100.0
07/15/2006 01:45	5.0	76.4	11.0	73.9	13.0	71.9	11.0	69.6	17.0	65.2	57.0	70.2	5	100.0
07/15/2006 01:50	9.0	76.6	17.0	74.7	16.0	73.4	14.0	69.2	13.0	64.6	69.0	71.6	5	100.0
07/15/2006 01:55	4.0	76.4	11.0	73.2	9.0	71.9	11.0	69.4	9.0	63.9	44.0	70.4	5	100.0
07/15/2006 02:00	5.0	76.0	16.0	73.9	16.0	72.1	16.0	69.7	11.0	64.6	64.0	71.0	5	100.0
07/15/2006 02:05	6.0	76.3	11.0	73.2	16.0	73.6	14.0	69.1	16.0	65.5	63.0	70.7	5	100.0
07/15/2006 02:10	4.0	76.3	14.0	74.2	14.0	72.2	15.0	72.0	15.0	65.2	62.0	71.2	5	100.0
