5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
06/29/2006 00:00	6.0	76.5	20.0	74.0	14.0	72.0	18.0	69.2	16.0	64.5	74.0	70.6	5	100.0
06/29/2006 00:05	4.0	76.8	14.0	74.3	14.0	71.8	14.0	69.5	9.0	64.1	55.0	71.0	5	100.0
06/29/2006 00:10	4.0	76.7	13.0	74.5	12.0	70.9	9.0	68.6	9.0	63.8	47.0	70.6	5	100.0
06/29/2006 00:15	2.0	76.7	7.0	73.6	9.0	71.6	9.0	68.7	8.0	64.2	35.0	69.9	5	100.0
06/29/2006 00:20	5.0	76.1	15.0	72.9	13.0	71.2	15.0	66.2	11.0	64.3	59.0	69.5	5	100.0
06/29/2006 00:25	8.0	76.0	12.0	72.8	13.0	70.5	15.0	63.0	13.0	63.3	61.0	68.3	5	100.0
06/29/2006 00:30	5.0	76.2	13.0	73.4	13.0	71.3	14.0	64.7	10.0	62.4	55.0	68.9	5	100.0
06/29/2006 00:35	5.0	76.3	14.0	73.3	15.0	69.9	12.0	63.7	13.0	63.9	59.0	68.7	5	100.0
06/29/2006 00:40	3.0	76.1	8.0	73.6	8.0	71.6	4.0	65.8	5.0	64.3	28.0	70.5	5	100.0
06/29/2006 00:45	4.0	76.4	9.0	73.4	13.0	72.4	14.0	68.2	11.0	65.0	51.0	70.1	5	100.0
06/29/2006 00:50	5.0	76.8	14.0	73.9	11.0	70.4	15.0	68.0	12.0	61.8	57.0	69.4	5	100.0
06/29/2006 00:55	4.0	76.8	10.0	74.3	11.0	69.8	9.0	66.2	13.0	60.0	47.0	68.0	5	100.0
06/29/2006 01:00	7.0	76.5	9.0	73.9	10.0	70.5	8.0	67.1	7.0	61.9	41.0	70.1	5	100.0
06/29/2006 01:05	5.0	76.3	9.0	73.7	11.0	68.7	8.0	67.4	12.0	62.6	45.0	68.7	5	100.0
06/29/2006 01:10	1.0	76.2	9.0	74.1	8.0	70.5	9.0	67.0	4.0	62.8	31.0	69.7	5	100.0
06/29/2006 01:15	1.0	76.1	6.0	74.2	9.0	71.2	12.0	70.0	8.0	63.7	36.0	69.8	5	100.0
06/29/2006 01:20	1.0	76.1	7.0	74.0	5.0	71.5	7.0	69.3	5.0	64.7	25.0	70.4	5	100.0
06/29/2006 01:25	2.0	76.0	7.0	73.7	8.0	72.3	8.0	69.2	8.0	64.9	33.0	70.3	5	100.0
06/29/2006 01:30	1.0	76.1	4.0	74.1	7.0	72.1	9.0	69.4	8.0	64.8	29.0	69.7	5	100.0
06/29/2006 01:35	2.0	76.2	4.0	74.3	4.0	71.2	7.0	69.4	6.0	65.6	23.0	70.2	5	100.0
06/29/2006 01:40	3.0	76.4	8.0	74.2	9.0	71.3	8.0	69.0	9.0	65.5	37.0	70.4	5	100.0
06/29/2006 01:45	4.0	76.5	7.0	74.2	6.0	71.6	9.0	69.8	5.0	64.0	31.0	71.1	5	100.0
06/29/2006 01:50	2.0	76.5	5.0	74.1	10.0	70.6	7.0	68.9	5.0	64.0	29.0	70.1	5	100.0
06/29/2006 01:55	2.0	76.5	6.0	73.8	8.0	71.0	7.0	68.3	7.0	64.8	30.0	69.8	5	100.0
06/29/2006 02:00	2.0	76.3	7.0	73.8	12.0	71.4	11.0	70.9	6.0	65.1	38.0	71.0	5	100.0
06/29/2006 02:05	1.0	76.1	5.0	74.0	8.0	71.8	7.0	69.0	8.0	63.3	29.0	69.3	5	100.0
06/29/2006 02:10	0.0	76.1	8.0	73.1	5.0	71.4	8.0	69.6	6.0	63.2	27.0	69.5	5	100.0
06/29/2006 02:15	0.0	76.1	5.0	73.5	3.0	72.3	6.0	70.2	5.0	64.1	19.0	69.8	5	100.0
06/29/2006 02:20	0.0	76.1	7.0	73.6	6.0	71.8	5.0	67.0	4.0	64.2	22.0	69.9	5	100.0
06/29/2006 02:25	1.0	76.4	4.0	74.1	6.0	72.1	6.0	67.6	4.0	63.5	21.0	69.8	5	100.0
06/29/2006 02:30	1.0	76.1	5.0	74.0	5.0	72.0	8.0	65.2	4.0	64.5	23.0	68.9	5	100.0
06/29/2006 02:35	0.0	76.1	6.0	73.7	5.0	72.5	6.0	67.8	2.0	64.8	19.0	70.6	5	100.0
06/29/2006 02:40	1.0	76.4	4.0	73.9	6.0	72.7	7.0	69.1	6.0	58.7	24.0	68.5	5	100.0
06/29/2006 02:45	1.0	76.6	4.0	73.9	5.0	71.9	6.0	66.7	4.0	62.5	20.0	69.1	5	100.0
06/29/2006 02:50	0.0	76.6	1.0	73.6	3.0	71.9	5.0	67.3	4.0	63.4	13.0	67.6	5	100.0
06/29/2006 02:55	1.0	76.7	4.0	73.9	5.0	71.1	5.0	68.0	5.0	64.0	20.0	69.4	5	100.0
06/29/2006 03:00	0.0	76.7	6.0	74.2	3.0	72.4	5.0	68.6	1.0	64.6	15.0	71.3	5	100.0
06/29/2006 03:05	0.0	76.7	1.0	73.9	2.0	73.1	4.0	68.4	4.0	65.0	11.0	68.5	5	100.0
06/29/2006 03:10	0.0	76.7	2.0	74.0	2.0	72.7	6.0	67.9	2.0	65.8	12.0	69.4	5	100.0
06/29/2006 03:15	0.0	76.7	2.0	73.7	3.0	72.8	6.0	68.2	6.0	65.1	17.0	68.6	5	100.0
06/29/2006 03:20	1.0	76.6	6.0	73.9	7.0	73.0	5.0	68.9	3.0	65.4	22.0	71.4	5	100.0
06/29/2006 03:25	0.0	76.6	1.0	73.8	4.0	72.7	7.0	70.7	4.0	65.2	16.0	70.0	5	100.0
06/29/2006 03:30	0.0	76.6	1.0	73.5	5.0	73.3	4.0	70.9	5.0	65.0	15.0	69.9	5	100.0
06/29/2006 03:35	0.0	76.6	3.0	73.8	4.0	73.3	4.0	70.9	3.0	65.4	14.0	71.0	5	100.0
06/29/2006 03:40	0.0	76.6	0.0	73.8	2.0	71.9	1.0	69.4	3.0	64.7	6.0	67.9	5	100.0
06/29/2006 03:45	1.0	76.2	3.0	73.8	6.0	73.2	8.0	71.8	2.0	63.7	20.0	71.9	5	100.0
06/29/2006 03:50	0.0	76.2	3.0	74.1	3.0	72.9	4.0	70.7	4.0	63.6	14.0	69.9	5	100.0
06/29/2006 03:55	0.0	76.2	3.0	74.3	3.0	72.8	7.0	71.5	5.0	64.3	18.0	70.2	5	100.0
06/29/2006 04:00	0.0	76.2	1.0	74.0	4.0	72.6	6.0	69.7	6.0	62.7	17.0	68.2	5	100.0
06/29/2006 04:05	1.0	76.4	3.0	73.8	5.0	72.3	8.0	67.1	8.0	63.5	25.0	68.2	5	100.0
06/29/2006 04:10	1.0	76.5	6.0	74.1	4.0	71.9	6.0	67.1	5.0	62.8	22.0	69.3	5	100.0
06/29/2006 04:15	1.0	76.6	5.0	74.2	6.0	72.0	8.0	67.5	8.0	63.3	28.0	68.8	5	100.0
06/29/2006 04:20	1.0	76.6	3.0	74.1	2.0	72.0	5.0	67.4	4.0	64.4	15.0	69.2	5	100.0
06/29/2006 04:25	1.0	76.6	6.0	73.7	7.0	69.1	8.0	65.6	10.0	65.1	32.0	68.1	5	100.0
