5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
03/08/2006 00:00	12.0	73.3	13.0	70.9	12.0	69.0	11.0	66.3	7.0	61.8	55.0	69.0	5	0.0
03/08/2006 00:05	12.0	73.2	13.0	70.8	12.0	68.9	11.0	66.2	7.0	61.7	55.0	68.9	5	0.0
03/08/2006 00:10	12.0	73.1	13.0	70.7	11.0	68.8	10.0	66.2	7.0	61.7	53.0	68.8	5	0.0
03/08/2006 00:15	11.0	72.8	12.0	70.4	11.0	68.5	10.0	65.9	6.0	61.4	50.0	68.5	5	0.0
03/08/2006 00:20	10.0	72.9	11.0	70.5	10.0	68.6	9.0	66.0	6.0	61.5	46.0	68.6	5	0.0
03/08/2006 00:25	11.0	72.9	12.0	70.5	10.0	68.6	9.0	66.0	6.0	61.5	48.0	68.7	5	0.0
03/08/2006 00:30	11.0	72.7	12.0	70.3	10.0	68.4	10.0	65.8	6.0	61.3	49.0	68.4	5	0.0
03/08/2006 00:35	11.0	72.5	12.0	70.1	11.0	68.2	10.0	65.6	6.0	61.1	50.0	68.2	5	0.0
03/08/2006 00:40	11.0	72.6	12.0	70.2	11.0	68.3	10.0	65.7	6.0	61.2	50.0	68.3	5	0.0
03/08/2006 00:45	11.0	72.8	12.0	70.4	10.0	68.5	9.0	65.9	6.0	61.4	48.0	68.6	5	0.0
03/08/2006 00:50	10.0	72.6	10.0	70.2	9.0	68.3	8.0	65.7	5.0	61.2	42.0	68.4	5	0.0
03/08/2006 00:55	10.0	72.4	11.0	70.0	10.0	68.1	9.0	65.5	6.0	61.0	46.0	68.1	5	0.0
03/08/2006 01:00	10.0	72.7	11.0	70.3	9.0	68.4	9.0	65.8	6.0	61.3	45.0	68.4	5	0.0
03/08/2006 01:05	9.0	72.7	10.0	70.3	9.0	68.4	8.0	65.8	5.0	61.3	41.0	68.4	5	0.0
03/08/2006 01:10	9.0	73.2	10.0	70.8	9.0	68.9	8.0	66.2	5.0	61.7	41.0	68.9	5	0.0
03/08/2006 01:15	10.0	72.2	11.0	69.8	9.0	67.9	9.0	65.3	6.0	60.8	45.0	67.8	5	0.0
03/08/2006 01:20	10.0	72.2	11.0	69.8	9.0	67.9	9.0	65.3	6.0	60.8	45.0	67.8	5	0.0
03/08/2006 01:25	10.0	72.2	11.0	69.8	10.0	67.9	9.0	65.3	6.0	60.8	46.0	67.9	5	0.0
03/08/2006 01:30	10.0	72.2	10.0	69.8	9.0	67.9	8.0	65.3	5.0	60.8	42.0	68.0	5	0.0
03/08/2006 01:35	10.0	71.9	11.0	69.6	9.0	67.7	9.0	65.1	6.0	60.7	45.0	67.6	5	0.0
03/08/2006 01:40	10.0	72.3	11.0	69.9	10.0	68.0	9.0	65.4	6.0	60.9	46.0	68.0	5	0.0
03/08/2006 01:45	10.0	72.5	10.0	70.1	9.0	68.2	8.0	65.6	5.0	61.1	42.0	68.3	5	0.0
03/08/2006 01:50	10.0	72.2	11.0	69.8	9.0	67.9	9.0	65.3	6.0	60.8	45.0	67.8	5	0.0
