5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
05/29/2006 00:00	13.0	76.5	28.0	74.0	29.0	72.0	32.0	69.2	30.0	64.5	132.0	70.5	5	100.0
05/29/2006 00:05	16.0	75.3	32.0	69.1	32.0	69.9	32.0	70.8	35.0	67.0	147.0	69.8	5	100.0
05/29/2006 00:10	12.0	75.3	32.0	68.2	30.0	70.7	25.0	74.2	27.0	65.1	126.0	70.0	5	100.0
05/29/2006 00:15	12.0	75.7	24.0	67.4	30.0	71.1	30.0	79.0	25.0	64.0	121.0	71.3	5	100.0
05/29/2006 00:20	20.0	76.1	23.0	67.8	26.0	71.0	23.0	78.9	20.0	66.2	112.0	72.0	5	100.0
05/29/2006 00:25	21.0	74.0	31.0	67.4	31.0	70.7	31.0	79.2	28.0	67.3	142.0	71.7	5	100.0
05/29/2006 00:30	9.0	75.1	25.0	68.0	23.0	71.7	24.0	77.1	21.0	69.1	102.0	71.8	5	100.0
05/29/2006 00:35	12.0	75.2	30.0	70.8	24.0	74.1	27.0	79.2	25.0	71.3	118.0	73.9	5	100.0
05/29/2006 00:40	13.0	75.7	25.0	73.2	26.0	73.4	27.0	76.8	23.0	69.1	114.0	73.6	5	100.0
05/29/2006 00:45	11.0	76.2	19.0	74.2	22.0	75.0	17.0	74.6	21.0	68.5	90.0	73.4	5	100.0
05/29/2006 00:50	9.0	76.5	22.0	73.7	20.0	73.8	18.0	75.1	21.0	69.7	90.0	73.3	5	100.0
05/29/2006 00:55	4.0	76.6	14.0	73.5	20.0	71.7	24.0	78.2	18.0	68.8	80.0	73.6	5	100.0
05/29/2006 01:00	7.0	76.3	16.0	74.1	15.0	72.3	17.0	76.0	12.0	66.4	67.0	73.0	5	100.0
05/29/2006 01:05	5.0	76.4	21.0	72.0	16.0	69.2	19.0	73.2	15.0	62.9	76.0	70.2	5	100.0
05/29/2006 01:10	10.0	76.5	12.0	73.4	17.0	70.9	20.0	74.5	20.0	64.9	79.0	71.4	5	100.0
05/29/2006 01:15	4.0	76.5	16.0	73.6	18.0	71.3	18.0	71.3	11.0	65.8	67.0	71.3	5	100.0
05/29/2006 01:20	7.0	76.5	12.0	73.5	16.0	71.8	16.0	73.6	11.0	65.9	62.0	72.1	5	100.0
05/29/2006 01:25	1.0	76.4	16.0	74.1	19.0	73.1	17.0	74.2	10.0	66.0	63.0	72.6	5	100.0
05/29/2006 01:30	12.0	76.5	12.0	72.9	14.0	72.4	10.0	72.6	9.0	65.8	57.0	72.4	5	100.0
05/29/2006 01:35	7.0	76.5	11.0	72.7	11.0	72.5	12.0	71.3	14.0	65.0	55.0	70.9	5	100.0
05/29/2006 01:40	6.0	76.5	8.0	73.0	14.0	71.6	13.0	71.8	12.0	65.8	53.0	71.1	5	100.0
05/29/2006 01:45	6.0	76.5	9.0	73.8	7.0	71.8	16.0	71.8	18.0	67.9	56.0	71.4	5	100.0
05/29/2006 01:50	6.0	76.5	12.0	72.7	12.0	71.5	12.0	71.3	11.0	66.9	53.0	71.3	5	100.0
05/29/2006 01:55	7.0	76.5	12.0	73.8	11.0	71.7	13.0	71.4	10.0	65.4	53.0	71.5	5	100.0
05/29/2006 02:00	4.0	76.2	11.0	73.0	10.0	72.1	15.0	70.6	12.0	65.9	52.0	70.7	5	100.0
05/29/2006 02:05	5.0	76.0	11.0	73.4	16.0	72.2	15.0	72.5	9.0	65.5	56.0	71.8	5	100.0
05/29/2006 02:10	8.0	76.2	13.0	72.7	13.0	72.7	12.0	71.7	13.0	63.2	59.0	70.9	5	100.0
05/29/2006 02:15	1.0	76.3	12.0	73.5	13.0	72.9	13.0	71.6	16.0	61.4	55.0	69.4	5	100.0
05/29/2006 02:20	6.0	76.1	17.0	72.0	10.0	72.7	11.0	71.6	7.0	63.9	51.0	71.4	5	100.0
05/29/2006 02:25	4.0	75.8	11.0	72.9	12.0	72.0	11.0	71.9	9.0	64.5	47.0	71.1	5	100.0
05/29/2006 02:30	4.0	76.1	13.0	72.5	9.0	71.8	12.0	71.4	12.0	64.7	50.0	70.5	5	100.0
05/29/2006 02:35	4.0	76.3	18.0	71.4	15.0	72.4	13.0	70.5	12.0	65.9	62.0	70.7	5	100.0
05/29/2006 02:40	4.0	76.4	7.0	72.5	8.0	71.9	9.0	70.2	10.0	66.4	38.0	70.6	5	100.0
05/29/2006 02:45	5.0	76.4	11.0	73.8	7.0	72.5	9.0	70.6	4.0	65.2	36.0	72.2	5	100.0
05/29/2006 02:50	5.0	76.4	9.0	74.1	7.0	72.5	15.0	69.6	7.0	65.3	43.0	71.1	5	100.0
05/29/2006 02:55	5.0	76.4	7.0	73.9	15.0	73.1	10.0	69.3	12.0	65.9	49.0	71.0	5	100.0
05/29/2006 03:00	1.0	76.4	9.0	72.7	9.0	72.9	13.0	72.0	4.0	65.7	36.0	71.8	5	100.0
05/29/2006 03:05	0.0	76.4	6.0	72.9	6.0	72.3	10.0	73.0	5.0	65.2	27.0	71.4	5	100.0
05/29/2006 03:10	0.0	76.4	12.0	73.5	1.0	72.5	3.0	71.7	2.0	64.6	18.0	72.2	5	100.0
05/29/2006 03:15	0.0	76.4	10.0	73.9	0.0	72.5	0.0	71.7	0.0	64.6	10.0	73.9	5	100.0
05/29/2006 03:20	0.0	76.4	9.0	74.1	2.0	72.6	3.0	70.9	3.0	65.0	17.0	71.8	5	100.0
05/29/2006 03:25	0.0	76.4	9.0	73.9	10.0	73.1	9.0	71.4	1.0	65.0	29.0	72.5	5	100.0
05/29/2006 03:30	1.0	76.4	4.0	74.0	7.0	73.2	9.0	69.8	5.0	65.3	26.0	70.8	5	100.0
05/29/2006 03:35	1.0	76.4	8.0	74.1	9.0	73.5	5.0	68.9	2.0	65.1	25.0	72.2	5	100.0
05/29/2006 03:40	2.0	76.4	6.0	74.2	9.0	73.1	6.0	70.4	3.0	64.9	26.0	72.0	5	100.0
05/29/2006 03:45	0.0	76.4	6.0	73.9	8.0	73.1	8.0	71.7	7.0	65.0	29.0	70.9	5	100.0
05/29/2006 03:50	0.0	76.4	8.0	73.5	8.0	72.5	11.0	72.5	3.0	64.8	30.0	72.0	5	100.0
05/29/2006 03:55	1.0	76.4	5.0	73.8	5.0	72.8	3.0	71.3	12.0	49.6	26.0	62.2	5	100.0
05/29/2006 04:00	1.0	76.4	4.0	74.0	9.0	71.8	9.0	72.0	6.0	57.8	29.0	69.4	5	100.0
05/29/2006 04:05	0.0	76.4	8.0	74.3	7.0	72.4	8.0	72.3	6.0	62.4	29.0	70.8	5	100.0
05/29/2006 04:10	4.0	76.4	9.0	74.1	7.0	72.6	9.0	72.6	4.0	64.4	33.0	72.5	5	100.0
05/29/2006 04:15	0.0	76.4	9.0	74.3	3.0	72.7	1.0	71.6	9.0	66.4	22.0	70.7	5	100.0
05/29/2006 04:20	0.0	76.4	10.0	74.4	0.0	72.7	0.0	71.6	10.0	67.7	20.0	71.0	5	100.0
05/29/2006 04:25	0.0	76.4	10.0	74.5	0.0	72.7	0.0	71.6	10.0	68.4	20.0	71.5	5	100.0
05/29/2006 04:30	0.0	76.4	10.0	74.5	0.0	72.7	0.0	71.6	10.0	68.7	20.0	71.6	5	100.0
05/29/2006 04:35	0.0	76.4	10.0	74.5	0.0	72.7	0.0	71.6	10.0	68.9	20.0	71.7	5	100.0
05/29/2006 04:40	0.0	76.4	10.0	74.5	0.0	72.7	0.0	71.6	10.0	69.0	20.0	71.8	5	100.0
05/29/2006 04:45	0.0	76.4	10.0	74.5	0.0	72.7	0.0	71.6	10.0	69.0	20.0	71.8	5	100.0
05/29/2006 04:50	0.0	76.4	6.0	74.4	2.0	71.5	4.0	71.0	9.0	67.9	21.0	70.7	5	100.0
05/29/2006 04:55	2.0	76.4	7.0	73.8	6.0	67.9	7.0	70.5	4.0	66.3	26.0	70.6	5	100.0
05/29/2006 05:00	0.0	76.4	10.0	74.4	9.0	71.2	6.0	70.9	6.0	65.5	31.0	71.1	5	100.0
05/29/2006 05:05	0.0	76.4	2.0	74.3	5.0	71.9	7.0	69.9	8.0	65.0	22.0	69.0	5	100.0
05/29/2006 05:10	4.0	76.4	7.0	74.5	13.0	73.6	9.0	70.5	10.0	66.1	43.0	71.6	5	100.0
05/29/2006 05:15	0.0	76.4	2.0	74.0	10.0	74.1	10.0	72.4	11.0	64.3	33.0	70.3	5	100.0
05/29/2006 05:20	0.0	76.4	5.0	74.2	6.0	73.7	6.0	69.9	11.0	63.9	28.0	69.1	5	100.0
05/29/2006 05:25	2.0	76.4	4.0	74.0	7.0	73.4	8.0	69.7	6.0	65.1	27.0	70.8	5	100.0
05/29/2006 05:30	0.0	76.4	3.0	74.2	10.0	74.2	14.0	73.8	9.0	59.3	36.0	70.3	5	100.0
05/29/2006 05:35	0.0	76.4	9.0	74.5	6.0	73.5	11.0	74.6	11.0	57.3	37.0	69.3	5	100.0
05/29/2006 05:40	2.0	76.4	10.0	74.1	12.0	72.8	13.0	70.4	6.0	60.7	43.0	70.9	5	100.0
05/29/2006 05:45	3.0	76.4	8.0	74.1	14.0	71.9	14.0	72.7	14.0	63.9	53.0	70.6	5	100.0
05/29/2006 05:50	4.0	76.4	8.0	73.8	9.0	70.7	11.0	71.6	16.0	64.7	48.0	69.9	5	100.0
05/29/2006 05:55	3.0	76.4	11.0	74.2	10.0	72.3	11.0	71.5	9.0	65.4	44.0	71.4	5	100.0
05/29/2006 06:00	0.0	76.4	11.0	73.8	7.0	71.3	10.0	70.8	12.0	65.5	40.0	70.1	5	100.0
05/29/2006 06:05	3.0	76.7	7.0	73.8	11.0	72.3	13.0	70.7	11.0	66.2	45.0	70.9	5	100.0
05/29/2006 06:10	0.0	76.7	9.0	73.2	11.0	72.5	12.0	70.2	16.0	65.3	48.0	69.7	5	100.0
05/29/2006 06:15	3.0	76.2	13.0	73.4	8.0	70.2	13.0	69.5	6.0	62.8	43.0	70.3	5	100.0
05/29/2006 06:20	5.0	76.7	10.0	73.7	14.0	69.9	13.0	70.1	13.0	61.7	55.0	69.3	5	100.0
05/29/2006 06:25	0.0	76.7	18.0	72.5	12.0	71.8	16.0	70.8	12.0	60.3	58.0	69.4	5	100.0
05/29/2006 06:30	1.0	76.7	16.0	72.6	19.0	70.9	18.0	72.8	16.0	62.0	70.0	69.8	5	100.0
05/29/2006 06:35	6.0	77.0	15.0	73.1	17.0	71.4	17.0	69.1	15.0	61.8	70.0	69.6	5	100.0
05/29/2006 06:40	9.0	77.4	21.0	73.0	25.0	74.0	17.0	61.3	14.0	60.0	86.0	69.3	5	100.0
05/29/2006 06:45	1.0	77.0	14.0	73.3	17.0	74.2	17.0	66.7	15.0	61.5	64.0	69.1	5	100.0
05/29/2006 06:50	4.0	76.9	19.0	72.3	17.0	73.7	20.0	68.5	12.0	59.1	72.0	69.6	5	100.0
05/29/2006 06:55	7.0	77.2	14.0	72.4	16.0	73.2	20.0	66.2	19.0	64.3	76.0	69.4	5	100.0
05/29/2006 07:00	4.0	77.2	20.0	72.6	13.0	72.9	19.0	66.5	14.0	66.2	70.0	70.0	5	100.0
05/29/2006 07:05	3.0	77.2	24.0	72.2	22.0	71.4	19.0	65.7	13.0	62.4	81.0	69.1	5	100.0
05/29/2006 07:10	8.0	76.6	27.0	69.5	26.0	71.8	25.0	62.1	19.0	63.4	105.0	67.7	5	100.0
05/29/2006 07:15	4.0	76.9	22.0	69.7	24.0	70.5	20.0	65.4	17.0	57.7	87.0	66.9	5	100.0
05/29/2006 07:20	1.0	76.9	24.0	71.5	25.0	72.7	23.0	68.2	17.0	61.0	90.0	69.1	5	100.0
05/29/2006 07:25	6.0	77.2	19.0	70.7	22.0	75.1	21.0	68.0	16.0	63.0	84.0	70.2	5	100.0
05/29/2006 07:30	8.0	77.0	23.0	69.4	24.0	72.2	23.0	68.6	17.0	62.2	95.0	69.3	5	100.0
05/29/2006 07:35	8.0	77.5	28.0	72.6	31.0	72.8	31.0	70.9	21.0	59.5	119.0	70.2	5	100.0
05/29/2006 07:40	5.0	77.4	28.0	66.5	30.0	71.2	23.0	70.1	19.0	61.9	105.0	68.3	5	100.0
05/29/2006 07:45	12.0	77.6	37.0	65.0	30.0	72.0	31.0	68.6	17.0	57.7	127.0	67.7	5	100.0
05/29/2006 07:50	15.0	78.6	27.0	66.8	32.0	73.0	31.0	67.8	26.0	62.3	131.0	69.0	5	100.0
05/29/2006 07:55	9.0	77.4	23.0	67.5	28.0	70.7	28.0	68.7	24.0	64.6	112.0	68.8	5	100.0
05/29/2006 08:00	10.0	77.6	32.0	68.6	28.0	71.2	31.0	64.1	28.0	65.0	129.0	68.0	5	100.0
05/29/2006 08:05	12.0	77.3	31.0	66.5	24.0	71.1	25.0	70.6	23.0	62.5	115.0	68.7	5	100.0
05/29/2006 08:10	12.0	77.8	31.0	65.5	29.0	65.1	27.0	63.4	25.0	61.3	124.0	65.3	5	100.0
05/29/2006 08:15	10.0	76.3	26.0	67.0	31.0	70.1	26.0	65.0	29.0	58.1	122.0	66.0	5	100.0
05/29/2006 08:20	10.0	74.7	27.0	66.9	35.0	73.6	34.0	66.3	29.0	58.1	135.0	67.2	5	100.0
05/29/2006 08:25	14.0	75.9	31.0	66.5	30.0	68.6	28.0	67.2	26.0	61.0	129.0	67.1	5	100.0
05/29/2006 08:30	9.0	76.8	31.0	66.3	28.0	67.7	30.0	66.8	25.0	64.3	123.0	67.1	5	100.0
05/29/2006 08:35	15.0	78.3	27.0	67.5	38.0	68.7	34.0	65.9	28.0	64.1	142.0	67.9	5	100.0
