5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
11/22/2006 00:00	8.0	76.5	22.0	74.0	19.0	72.0	17.0	69.2	17.0	64.5	83.0	70.9	5	100.0
11/22/2006 00:05	10.0	76.0	17.0	72.3	20.0	66.7	19.0	70.6	13.0	64.1	79.0	69.6	5	100.0
11/22/2006 00:10	6.0	76.0	17.0	73.6	16.0	69.5	20.0	69.5	14.0	65.5	73.0	70.2	5	100.0
11/22/2006 00:15	7.0	76.3	16.0	73.2	16.0	72.6	16.0	71.3	16.0	67.4	71.0	71.6	5	100.0
11/22/2006 00:20	9.0	76.5	15.0	71.8	13.0	71.7	14.0	69.3	14.0	66.3	65.0	70.7	5	100.0
11/22/2006 00:25	7.0	76.7	12.0	72.1	10.0	71.5	11.0	70.7	12.0	65.9	52.0	70.9	5	100.0
11/22/2006 00:30	4.0	76.4	11.0	72.8	14.0	71.4	14.0	70.1	11.0	65.2	54.0	70.5	5	100.0
11/22/2006 00:35	1.0	76.8	8.0	73.0	6.0	71.8	5.0	68.4	4.0	63.3	24.0	70.3	5	100.0
11/22/2006 00:40	5.0	76.8	9.0	73.7	12.0	71.9	9.0	66.2	11.0	63.2	46.0	69.6	5	100.0
11/22/2006 00:45	5.0	76.8	9.0	73.3	9.0	68.8	13.0	66.9	9.0	63.8	45.0	69.0	5	100.0
11/22/2006 00:50	3.0	76.6	11.0	73.3	9.0	70.3	14.0	61.1	11.0	60.8	48.0	66.5	5	100.0
11/22/2006 00:55	4.0	76.8	11.0	73.4	10.0	70.0	10.0	60.8	13.0	63.9	48.0	67.8	5	100.0
11/22/2006 01:00	3.0	76.7	8.0	73.8	9.0	69.8	10.0	60.4	9.0	64.0	39.0	67.4	5	100.0
11/22/2006 01:05	3.0	76.8	6.0	73.5	11.0	71.1	12.0	65.0	12.0	64.1	44.0	68.2	5	100.0
11/22/2006 01:10	4.0	76.8	9.0	73.7	10.0	71.9	11.0	69.7	6.0	64.2	40.0	71.0	5	100.0
11/22/2006 01:15	1.0	76.9	4.0	74.1	3.0	71.8	5.0	69.3	6.0	64.2	19.0	69.5	5	100.0
11/22/2006 01:20	4.0	76.9	9.0	73.3	11.0	72.7	11.0	67.1	9.0	65.3	44.0	70.3	5	100.0
11/22/2006 01:25	1.0	76.5	5.0	73.6	11.0	71.5	10.0	67.3	8.0	64.2	35.0	69.1	5	100.0
11/22/2006 01:30	0.0	76.5	2.0	73.8	3.0	71.6	3.0	68.6	4.0	64.3	12.0	68.8	5	100.0
11/22/2006 01:35	0.0	76.5	5.0	73.9	9.0	72.2	9.0	68.2	4.0	64.1	27.0	70.0	5	100.0
11/22/2006 01:40	4.0	76.3	7.0	73.7	11.0	70.3	10.0	69.2	6.0	64.5	38.0	70.4	5	100.0
11/22/2006 01:45	1.0	76.0	7.0	73.8	9.0	70.0	9.0	65.3	6.0	64.7	32.0	68.7	5	100.0
11/22/2006 01:50	1.0	76.1	7.0	74.1	7.0	69.4	10.0	67.5	6.0	63.5	31.0	68.9	5	100.0
11/22/2006 01:55	2.0	76.6	6.0	73.8	7.0	70.8	8.0	68.2	6.0	63.6	29.0	69.6	5	100.0
11/22/2006 02:00	2.0	76.3	6.0	73.1	8.0	71.7	7.0	66.2	7.0	62.4	30.0	68.8	5	100.0
11/22/2006 02:05	0.0	76.3	2.0	73.4	5.0	71.7	5.0	67.3	5.0	63.0	17.0	68.0	5	100.0
11/22/2006 02:10	1.0	76.0	6.0	74.0	6.0	71.3	6.0	68.5	7.0	63.8	26.0	69.4	5	100.0
11/22/2006 02:15	1.0	76.4	2.0	74.1	1.0	71.0	4.0	68.6	5.0	64.9	13.0	68.8	5	100.0
11/22/2006 02:20	1.0	76.6	4.0	74.0	5.0	71.9	6.0	68.5	4.0	65.2	20.0	70.2	5	100.0
11/22/2006 02:25	0.0	76.6	5.0	74.1	3.0	71.8	6.0	69.8	3.0	64.3	17.0	70.4	5	100.0
11/22/2006 02:30	1.0	76.2	3.0	74.1	6.0	71.6	5.0	67.9	5.0	64.5	20.0	69.5	5	100.0
11/22/2006 02:35	1.0	76.5	2.0	73.9	2.0	71.7	4.0	69.0	3.0	63.9	12.0	69.6	5	100.0
11/22/2006 02:40	1.0	76.6	5.0	74.2	4.0	70.5	7.0	67.3	7.0	64.4	24.0	68.8	5	100.0
