5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
10/08/2006 00:00	11.0	76.5	15.0	74.0	25.0	72.0	27.0	69.2	26.0	64.5	104.0	70.2	5	100.0
10/08/2006 00:05	15.0	75.3	27.0	73.0	27.0	70.3	29.0	70.3	24.0	64.3	122.0	70.3	5	100.0
10/08/2006 00:10	12.0	75.8	23.0	73.3	23.0	68.9	25.0	68.4	23.0	62.5	106.0	69.1	5	100.0
10/08/2006 00:15	13.0	76.0	23.0	72.9	22.0	68.8	23.0	71.0	19.0	64.6	100.0	70.4	5	100.0
10/08/2006 00:20	15.0	75.4	19.0	73.0	20.0	67.8	18.0	70.2	20.0	64.9	92.0	70.0	5	100.0
10/08/2006 00:25	9.0	75.6	19.0	73.0	17.0	70.0	16.0	67.1	21.0	64.7	82.0	69.4	5	100.0
10/08/2006 00:30	9.0	76.1	18.0	73.1	19.0	72.0	17.0	69.4	21.0	64.1	84.0	70.2	5	100.0
10/08/2006 00:35	5.0	76.4	13.0	74.0	10.0	72.1	14.0	69.5	12.0	64.2	54.0	70.5	5	100.0
10/08/2006 00:40	3.0	76.7	7.0	74.2	9.0	72.0	10.0	68.7	7.0	64.3	36.0	70.4	5	100.0
10/08/2006 00:45	9.0	76.5	13.0	74.0	16.0	70.4	14.0	69.5	15.0	63.4	67.0	70.2	5	100.0
10/08/2006 00:50	7.0	76.5	17.0	74.5	15.0	68.9	16.0	67.7	14.0	64.1	69.0	69.8	5	100.0
10/08/2006 00:55	7.0	76.5	14.0	74.7	15.0	70.6	19.0	70.4	14.0	63.1	69.0	70.5	5	100.0
10/08/2006 01:00	8.0	76.5	10.0	73.7	11.0	70.9	16.0	70.6	13.0	63.7	58.0	70.5	5	100.0
10/08/2006 01:05	3.0	76.3	14.0	74.2	13.0	72.1	20.0	68.1	14.0	64.0	64.0	69.7	5	100.0
10/08/2006 01:10	5.0	76.2	13.0	74.2	12.0	72.2	14.0	69.3	12.0	63.6	56.0	70.5	5	100.0
10/08/2006 01:15	5.0	76.6	13.0	74.5	13.0	72.2	12.0	69.2	11.0	62.8	54.0	70.6	5	100.0
10/08/2006 01:20	6.0	76.7	15.0	74.9	18.0	69.6	15.0	66.0	15.0	63.9	69.0	69.3	5	100.0
10/08/2006 01:25	5.0	76.4	12.0	74.5	11.0	70.6	12.0	68.3	13.0	64.7	53.0	70.1	5	100.0
10/08/2006 01:30	4.0	76.2	11.0	74.6	16.0	71.8	11.0	68.4	17.0	61.3	59.0	69.0	5	100.0
10/08/2006 01:35	5.0	76.2	9.0	74.3	13.0	72.0	15.0	69.2	9.0	62.1	51.0	70.2	5	100.0
10/08/2006 01:40	7.0	76.6	11.0	74.5	11.0	71.8	11.0	69.2	15.0	62.5	55.0	69.9	5	100.0
10/08/2006 01:45	5.0	76.4	12.0	75.3	13.0	72.3	13.0	68.9	15.0	63.1	58.0	70.1	5	100.0
10/08/2006 01:50	6.0	76.6	9.0	75.0	14.0	71.9	15.0	69.5	11.0	62.5	55.0	70.4	5	100.0
10/08/2006 01:55	5.0	76.4	15.0	74.8	15.0	73.0	15.0	69.0	9.0	62.4	59.0	71.1	5	100.0
10/08/2006 02:00	5.0	76.0	13.0	74.2	13.0	70.9	12.0	68.6	14.0	62.7	57.0	69.6	5	100.0
10/08/2006 02:05	4.0	76.0	8.0	74.4	13.0	70.6	15.0	70.0	15.0	63.5	55.0	69.4	5	100.0
10/08/2006 02:10	3.0	76.1	10.0	74.0	13.0	71.1	15.0	70.4	13.0	63.6	54.0	69.9	5	100.0
10/08/2006 02:15	5.0	76.1	13.0	73.8	11.0	70.3	15.0	69.2	13.0	64.0	57.0	69.9	5	100.0
10/08/2006 02:20	1.0	76.4	4.0	73.7	8.0	71.0	7.0	69.6	5.0	64.0	25.0	69.9	5	100.0
10/08/2006 02:25	6.0	76.1	14.0	73.5	11.0	71.2	10.0	69.9	11.0	63.6	52.0	70.5	5	100.0
10/08/2006 02:30	3.0	76.1	11.0	73.5	12.0	70.9	15.0	69.3	11.0	63.4	52.0	69.7	5	100.0
10/08/2006 02:35	4.0	76.2	10.0	73.8	13.0	71.4	11.0	69.8	11.0	62.3	49.0	69.9	5	100.0
10/08/2006 02:40	5.0	76.1	12.0	74.1	13.0	71.2	11.0	69.3	10.0	62.2	51.0	70.2	5	100.0
10/08/2006 02:45	1.0	76.0	8.0	73.8	9.0	72.0	10.0	69.1	9.0	62.8	37.0	69.5	5	100.0
10/08/2006 02:50	1.0	75.9	6.0	73.8	9.0	71.8	5.0	69.0	7.0	63.3	28.0	69.8	5	100.0
10/08/2006 02:55	1.0	75.9	6.0	73.8	7.0	72.2	7.0	69.7	5.0	63.9	26.0	70.4	5	100.0
10/08/2006 03:00	1.0	76.3	5.0	74.1	3.0	72.2	5.0	69.6	5.0	64.5	19.0	70.2	5	100.0
10/08/2006 03:05	1.0	76.5	5.0	73.9	10.0	72.5	9.0	67.5	6.0	64.5	31.0	69.9	5	100.0
10/08/2006 03:10	1.0	76.6	4.0	74.1	6.0	72.6	5.0	68.3	5.0	64.6	21.0	70.1	5	100.0
10/08/2006 03:15	1.0	76.2	7.0	74.2	8.0	72.0	8.0	68.0	4.0	64.2	28.0	70.4	5	100.0
10/08/2006 03:20	2.0	76.2	2.0	74.2	6.0	72.1	6.0	69.1	5.0	64.2	21.0	70.0	5	100.0
10/08/2006 03:25	3.0	76.2	7.0	74.2	9.0	72.5	8.0	69.1	5.0	64.7	32.0	71.1	5	100.0
10/08/2006 03:30	2.0	76.2	6.0	74.1	9.0	72.7	6.0	69.1	5.0	64.3	28.0	71.0	5	100.0
10/08/2006 03:35	5.0	76.1	11.0	73.6	9.0	72.2	12.0	68.7	5.0	64.9	42.0	71.2	5	100.0
10/08/2006 03:40	2.0	76.1	5.0	73.5	3.0	72.2	5.0	69.3	4.0	64.5	19.0	70.6	5	100.0
10/08/2006 03:45	3.0	76.0	7.0	73.7	12.0	72.7	8.0	69.6	8.0	64.2	38.0	70.7	5	100.0
10/08/2006 03:50	3.0	75.9	8.0	73.5	9.0	71.7	7.0	68.5	7.0	64.7	34.0	70.4	5	100.0
10/08/2006 03:55	2.0	76.0	9.0	73.9	5.0	71.5	7.0	69.2	8.0	62.9	31.0	69.7	5	100.0
10/08/2006 04:00	1.0	75.9	4.0	74.1	6.0	72.0	9.0	69.0	6.0	64.1	26.0	69.6	5	100.0
10/08/2006 04:05	1.0	75.9	7.0	74.2	7.0	71.2	9.0	69.3	5.0	64.5	29.0	70.3	5	100.0
10/08/2006 04:10	1.0	76.3	3.0	74.3	6.0	71.5	4.0	69.1	3.0	65.0	17.0	70.6	5	100.0
10/08/2006 04:15	2.0	76.2	3.0	74.4	7.0	72.2	7.0	69.7	3.0	64.8	22.0	71.1	5	100.0
10/08/2006 04:20	1.0	76.5	4.0	74.0	4.0	72.1	4.0	69.6	4.0	64.1	17.0	70.3	5	100.0
10/08/2006 04:25	1.0	76.6	3.0	74.2	3.0	71.9	3.0	69.6	4.0	63.6	14.0	69.9	5	100.0
10/08/2006 04:30	0.0	76.6	3.0	74.1	3.0	72.1	4.0	69.2	5.0	63.3	15.0	68.8	5	100.0
10/08/2006 04:35	0.0	76.6	3.0	74.0	5.0	72.4	4.0	68.8	4.0	64.2	16.0	69.8	5	100.0
10/08/2006 04:40	1.0	76.7	4.0	73.7	5.0	71.8	5.0	68.6	3.0	64.4	18.0	70.4	5	100.0
10/08/2006 04:45	1.0	76.0	6.0	74.1	3.0	71.9	5.0	69.1	3.0	64.8	18.0	70.9	5	100.0
10/08/2006 04:50	1.0	76.4	4.0	74.0	4.0	71.7	4.0	68.7	3.0	64.7	16.0	70.5	5	100.0
10/08/2006 04:55	1.0	76.6	3.0	73.8	3.0	72.3	5.0	68.9	5.0	64.4	17.0	69.5	5	100.0
10/08/2006 05:00	1.0	76.7	4.0	74.2	5.0	72.5	5.0	69.4	6.0	64.3	21.0	69.9	5	100.0
10/08/2006 05:05	1.0	76.8	3.0	74.2	5.0	72.4	5.0	69.2	2.0	64.2	16.0	71.0	5	100.0
10/08/2006 05:10	0.0	76.8	1.0	74.0	5.0	72.5	5.0	69.1	2.0	64.2	13.0	70.0	5	100.0
10/08/2006 05:15	0.0	76.8	3.0	74.1	6.0	72.4	9.0	68.9	6.0	65.1	24.0	69.5	5	100.0
10/08/2006 05:20	0.0	76.8	3.0	73.9	3.0	72.0	5.0	68.5	4.0	63.9	15.0	69.1	5	100.0
10/08/2006 05:25	1.0	76.8	5.0	73.9	4.0	71.8	7.0	68.7	4.0	63.5	21.0	69.9	5	100.0
10/08/2006 05:30	0.0	76.8	7.0	74.0	5.0	72.1	7.0	69.2	5.0	63.3	24.0	70.0	5	100.0
10/08/2006 05:35	0.0	76.8	3.0	73.8	5.0	71.8	7.0	68.6	3.0	63.5	18.0	69.5	5	100.0
10/08/2006 05:40	1.0	76.8	5.0	73.5	7.0	72.4	9.0	68.7	6.0	64.4	28.0	69.9	5	100.0
10/08/2006 05:45	0.0	76.8	3.0	73.8	5.0	72.0	8.0	68.6	6.0	63.5	22.0	68.7	5	100.0
10/08/2006 05:50	1.0	76.4	7.0	74.1	8.0	72.1	9.0	66.9	5.0	64.0	30.0	69.8	5	100.0
10/08/2006 05:55	1.0	76.6	3.0	74.1	5.0	72.6	1.0	67.8	3.0	64.2	13.0	70.9	5	100.0
10/08/2006 06:00	1.0	76.4	7.0	74.4	3.0	72.2	5.0	68.6	5.0	62.7	21.0	70.0	5	100.0
10/08/2006 06:05	1.0	76.9	5.0	74.3	7.0	72.3	8.0	68.7	6.0	63.6	27.0	69.8	5	100.0
10/08/2006 06:10	1.0	76.3	8.0	74.1	6.0	72.2	11.0	70.0	7.0	64.3	33.0	70.4	5	100.0
10/08/2006 06:15	1.0	76.8	8.0	74.2	8.0	71.9	9.0	69.8	6.0	64.6	32.0	70.7	5	100.0
10/08/2006 06:20	1.0	76.5	5.0	74.2	5.0	71.9	5.0	70.0	4.0	64.4	20.0	70.7	5	100.0
