5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
09/29/2006 00:00	7.0	76.5	13.0	74.0	13.0	72.0	13.0	69.2	7.0	64.5	53.0	71.4	5	100.0
09/29/2006 00:05	7.0	76.6	15.0	73.5	17.0	72.2	14.0	65.9	11.0	65.4	64.0	70.4	5	100.0
09/29/2006 00:10	6.0	76.4	9.0	73.5	9.0	71.4	9.0	68.9	6.0	65.9	39.0	71.2	5	100.0
09/29/2006 00:15	16.0	73.6	19.0	67.4	17.0	62.3	14.0	66.3	13.0	61.7	79.0	66.4	5	100.0
09/29/2006 00:20	3.0	74.8	13.0	69.8	14.0	67.1	15.0	70.7	7.0	62.4	52.0	68.6	5	100.0
09/29/2006 00:25	6.0	75.4	15.0	70.6	16.0	68.2	13.0	66.3	11.0	62.5	61.0	68.1	5	100.0
09/29/2006 00:30	5.0	75.7	14.0	71.6	11.0	69.3	11.0	64.7	7.0	63.0	48.0	68.7	5	100.0
09/29/2006 00:35	5.0	75.5	12.0	72.3	11.0	70.5	11.0	65.4	6.0	63.0	45.0	69.3	5	100.0
09/29/2006 00:40	6.0	75.9	13.0	72.6	17.0	68.3	12.0	68.5	8.0	61.8	56.0	69.2	5	100.0
09/29/2006 00:45	4.0	76.4	11.0	72.3	13.0	69.7	14.0	71.0	9.0	63.4	51.0	70.0	5	100.0
09/29/2006 00:50	6.0	76.2	10.0	73.3	11.0	69.3	11.0	66.1	9.0	64.9	47.0	69.4	5	100.0
09/29/2006 00:55	1.0	76.2	9.0	74.2	11.0	71.7	9.0	67.2	13.0	65.8	43.0	69.6	5	100.0
09/29/2006 01:00	1.0	76.7	6.0	73.8	8.0	72.2	7.0	67.1	9.0	65.8	31.0	69.6	5	100.0
09/29/2006 01:05	2.0	76.6	6.0	74.0	9.0	73.1	9.0	69.4	11.0	65.8	37.0	70.4	5	100.0
09/29/2006 01:10	1.0	76.4	6.0	74.1	9.0	71.4	7.0	69.0	6.0	62.7	29.0	69.8	5	100.0
09/29/2006 01:15	2.0	76.5	8.0	73.8	7.0	71.2	9.0	68.0	9.0	58.9	35.0	68.1	5	100.0
09/29/2006 01:20	1.0	76.9	5.0	74.0	7.0	71.1	5.0	68.0	7.0	62.1	25.0	68.8	5	100.0
09/29/2006 01:25	0.0	76.9	3.0	74.1	3.0	71.6	6.0	65.0	5.0	63.5	17.0	67.3	5	100.0
09/29/2006 01:30	7.0	76.3	9.0	74.2	7.0	72.1	6.0	68.0	7.0	63.8	36.0	71.1	5	100.0
09/29/2006 01:35	1.0	76.0	8.0	74.1	10.0	71.2	12.0	70.4	9.0	64.3	40.0	70.1	5	100.0
09/29/2006 01:40	1.0	76.1	9.0	74.2	9.0	72.4	9.0	69.7	9.0	64.2	37.0	70.3	5	100.0
09/29/2006 01:45	1.0	76.1	5.0	74.2	7.0	72.5	10.0	69.3	9.0	65.2	32.0	69.8	5	100.0
09/29/2006 01:50	3.0	76.3	8.0	73.9	6.0	71.5	11.0	70.1	9.0	65.6	37.0	70.6	5	100.0
09/29/2006 01:55	2.0	76.4	5.0	73.3	9.0	69.9	11.0	71.3	10.0	65.8	37.0	70.0	5	100.0
09/29/2006 02:00	1.0	76.8	3.0	73.7	5.0	71.4	3.0	70.0	5.0	64.9	17.0	70.0	5	100.0
09/29/2006 02:05	3.0	76.8	4.0	73.8	7.0	72.0	6.0	68.6	4.0	64.3	24.0	70.8	5	100.0
09/29/2006 02:10	1.0	77.0	6.0	73.8	9.0	72.6	5.0	68.7	4.0	64.7	25.0	71.0	5	100.0
09/29/2006 02:15	0.0	77.0	6.0	74.1	6.0	72.0	6.0	69.1	6.0	65.8	24.0	70.2	5	100.0
09/29/2006 02:20	1.0	77.1	4.0	74.0	9.0	72.4	10.0	69.3	5.0	60.6	29.0	69.7	5	100.0
09/29/2006 02:25	1.0	76.6	7.0	74.0	9.0	72.2	9.0	69.1	7.0	63.3	33.0	70.0	5	100.0
09/29/2006 02:30	1.0	76.4	6.0	73.9	7.0	72.2	6.0	68.4	4.0	63.9	24.0	70.5	5	100.0
09/29/2006 02:35	1.0	76.8	6.0	73.8	5.0	71.8	7.0	68.8	5.0	63.6	24.0	69.9	5	100.0
09/29/2006 02:40	1.0	77.0	2.0	74.0	3.0	72.2	5.0	69.2	5.0	64.0	16.0	69.2	5	100.0
09/29/2006 02:45	1.0	77.1	3.0	73.8	5.0	72.4	5.0	67.9	4.0	64.9	18.0	70.0	5	100.0
09/29/2006 02:50	0.0	77.1	5.0	73.6	5.0	72.4	7.0	62.5	6.0	64.6	23.0	67.6	5	100.0
09/29/2006 02:55	2.0	76.8	5.0	74.1	5.0	71.5	5.0	65.3	3.0	64.0	20.0	70.0	5	100.0
09/29/2006 03:00	0.0	76.8	2.0	74.1	3.0	71.6	5.0	66.0	5.0	64.7	15.0	67.8	5	100.0
09/29/2006 03:05	1.0	76.9	3.0	73.6	5.0	71.8	6.0	66.8	5.0	64.2	20.0	68.9	5	100.0
09/29/2006 03:10	0.0	76.9	1.0	73.6	3.0	72.0	5.0	67.8	3.0	63.9	12.0	68.4	5	100.0
09/29/2006 03:15	0.0	76.9	3.0	73.7	3.0	71.9	5.0	67.2	5.0	62.8	16.0	67.9	5	100.0
09/29/2006 03:20	1.0	76.9	2.0	73.9	5.0	71.8	3.0	68.4	4.0	62.6	15.0	69.3	5	100.0
09/29/2006 03:25	1.0	76.9	4.0	74.0	6.0	72.1	6.0	68.5	5.0	64.0	22.0	69.8	5	100.0
09/29/2006 03:30	0.0	76.9	3.0	73.7	5.0	72.0	6.0	66.4	5.0	63.8	19.0	68.3	5	100.0
09/29/2006 03:35	1.0	76.9	3.0	73.8	4.0	71.6	6.0	63.8	5.0	63.5	19.0	67.6	5	100.0
09/29/2006 03:40	1.0	76.9	5.0	74.0	3.0	71.7	5.0	65.4	5.0	61.2	19.0	68.2	5	100.0
09/29/2006 03:45	0.0	76.9	2.0	74.0	4.0	72.5	6.0	66.8	4.0	62.3	16.0	68.0	5	100.0
09/29/2006 03:50	0.0	76.9	3.0	73.7	3.0	72.3	6.0	62.1	3.0	63.1	15.0	66.7	5	100.0
09/29/2006 03:55	1.0	76.4	3.0	73.8	6.0	72.1	7.0	62.0	6.0	63.3	23.0	67.1	5	100.0
09/29/2006 04:00	0.0	76.4	2.0	74.0	4.0	72.2	3.0	66.4	7.0	64.1	16.0	67.8	5	100.0
09/29/2006 04:05	1.0	76.6	4.0	74.2	3.0	72.8	7.0	64.8	5.0	63.6	20.0	68.2	5	100.0
09/29/2006 04:10	1.0	76.3	3.0	74.1	5.0	72.2	5.0	63.7	5.0	62.6	19.0	68.0	5	100.0
09/29/2006 04:15	1.0	76.6	3.0	73.9	6.0	71.6	6.0	66.1	6.0	63.0	22.0	68.3	5	100.0
09/29/2006 04:20	0.0	76.6	6.0	74.3	6.0	71.5	9.0	64.6	8.0	59.5	29.0	66.6	5	100.0
09/29/2006 04:25	0.0	76.6	6.0	74.3	7.0	72.2	9.0	68.1	8.0	61.9	30.0	68.6	5	100.0
09/29/2006 04:30	0.0	76.6	6.0	74.3	4.0	71.5	8.0	66.0	5.0	63.7	23.0	68.6	5	100.0
09/29/2006 04:35	0.0	76.6	3.0	74.0	7.0	71.4	7.0	66.9	9.0	60.6	26.0	66.8	5	100.0
09/29/2006 04:40	1.0	76.7	5.0	74.1	8.0	72.6	9.0	67.5	10.0	61.6	33.0	68.2	5	100.0
09/29/2006 04:45	1.0	76.8	7.0	74.4	9.0	71.7	11.0	65.5	10.0	57.0	38.0	66.7	5	100.0
09/29/2006 04:50	1.0	76.8	9.0	74.0	11.0	72.4	9.0	64.6	9.0	57.7	39.0	67.7	5	100.0
09/29/2006 04:55	1.0	76.4	8.0	73.5	8.0	71.2	11.0	69.4	11.0	62.4	39.0	68.8	5	100.0
09/29/2006 05:00	0.0	76.4	6.0	74.1	7.0	71.0	10.0	61.3	12.0	53.3	35.0	62.7	5	100.0
09/29/2006 05:05	1.0	77.1	4.0	73.8	8.0	70.8	6.0	64.4	8.0	58.4	27.0	66.4	5	100.0
09/29/2006 05:10	1.0	77.2	7.0	73.4	11.0	71.1	12.0	61.4	13.0	59.0	44.0	65.4	5	100.0
09/29/2006 05:15	1.0	77.3	12.0	73.1	12.0	71.0	12.0	57.0	9.0	60.2	46.0	65.9	5	100.0
09/29/2006 05:20	2.0	77.0	13.0	72.8	12.0	71.4	14.0	59.2	14.0	63.9	55.0	66.9	5	100.0
09/29/2006 05:25	0.0	77.0	14.0	72.6	14.0	69.7	14.0	61.9	15.0	62.3	57.0	66.5	5	100.0
09/29/2006 05:30	1.0	76.6	11.0	73.2	13.0	69.9	13.0	66.2	13.0	64.0	51.0	68.3	5	100.0
09/29/2006 05:35	1.0	77.0	21.0	71.5	19.0	65.9	18.0	60.0	19.0	64.2	78.0	65.8	5	100.0
