5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Lane 6 Flow (Veh/5 Minutes)	Lane 6 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
01/01/2006 00:00	14.0	76.5	52.0	70.3	47.0	66.0	39.0	62.1	31.0	61.8	0.0	0.0	183.0	66.5	5	20.0
01/01/2006 00:05	9.0	77.2	52.0	70.3	46.0	65.8	38.0	61.8	30.0	61.5	0.0	0.0	175.0	66.1	5	20.0
01/01/2006 00:10	16.0	76.8	59.0	70.2	53.0	65.8	43.0	61.8	31.0	61.9	0.0	0.0	202.0	66.5	5	20.0
01/01/2006 00:15	13.0	75.3	56.0	69.4	50.0	65.0	41.0	61.1	32.0	61.3	0.0	0.0	192.0	65.5	5	20.0
01/01/2006 00:20	19.0	76.6	51.0	69.5	46.0	65.3	38.0	61.5	30.0	61.5	0.0	0.0	184.0	66.2	5	20.0
01/01/2006 00:25	26.0	73.7	65.0	68.0	58.0	63.6	48.0	60.0	39.0	61.1	0.0	0.0	236.0	64.8	5	20.0
01/01/2006 00:30	23.0	73.6	67.0	67.4	60.0	62.9	50.0	59.3	41.0	60.2	0.0	0.0	241.0	64.0	5	20.0
01/01/2006 00:35	23.0	77.2	68.0	67.5	62.0	63.3	52.0	59.6	42.0	60.0	0.0	0.0	247.0	64.4	5	20.0
01/01/2006 00:40	30.0	76.5	74.0	67.6	66.0	63.0	55.0	59.5	45.0	59.7	0.0	0.0	270.0	64.5	5	20.0
01/01/2006 00:45	29.0	73.4	73.0	69.7	65.0	65.5	55.0	61.7	45.0	61.9	0.0	0.0	267.0	66.1	5	20.0
01/01/2006 00:50	35.0	74.8	79.0	68.7	72.0	64.5	61.0	60.8	50.0	60.8	0.0	0.0	297.0	65.5	5	20.0
01/01/2006 00:55	29.0	74.1	73.0	68.9	65.0	64.6	55.0	60.7	45.0	61.6	0.0	0.0	267.0	65.5	5	20.0
01/01/2006 01:00	31.0	73.3	74.0	69.0	66.0	64.8	56.0	60.9	46.0	61.3	0.0	0.0	273.0	65.5	5	20.0
01/01/2006 01:05	34.0	72.5	76.0	68.0	68.0	63.8	57.0	60.1	47.0	60.0	0.0	0.0	282.0	64.6	5	20.0
01/01/2006 01:10	35.0	72.5	77.0	67.4	68.0	63.2	57.0	59.5	47.0	59.7	0.0	0.0	284.0	64.2	5	20.0
01/01/2006 01:15	36.0	74.9	73.0	67.7	65.0	63.4	55.0	59.7	45.0	59.8	0.0	0.0	274.0	64.7	5	20.0
01/01/2006 01:20	35.0	75.8	74.0	67.4	66.0	63.1	55.0	59.5	45.0	59.9	0.0	0.0	275.0	64.6	5	20.0
01/01/2006 01:25	32.0	73.1	72.0	68.8	64.0	64.5	54.0	60.7	44.0	61.1	0.0	0.0	266.0	65.4	5	20.0
01/01/2006 01:30	30.0	73.2	70.0	68.8	62.0	64.6	52.0	60.7	43.0	60.9	0.0	0.0	257.0	65.3	5	20.0
01/01/2006 01:35	34.0	74.7	79.0	67.2	71.0	63.0	61.0	59.4	50.0	59.5	0.0	0.0	295.0	64.1	5	20.0
01/01/2006 01:40	33.0	75.8	76.0	67.7	69.0	63.6	59.0	59.9	48.0	59.7	0.0	0.0	285.0	64.7	5	20.0
01/01/2006 01:45	28.0	75.4	71.0	67.9	64.0	63.7	54.0	59.9	44.0	60.6	0.0	0.0	261.0	64.8	5	20.0
01/01/2006 01:50	28.0	72.7	68.0	68.6	61.0	64.3	51.0	60.5	42.0	61.2	0.0	0.0	250.0	65.1	5	20.0
01/01/2006 01:55	22.0	73.3	65.0	68.3	58.0	63.6	49.0	60.0	40.0	60.5	0.0	0.0	234.0	64.5	5	20.0
01/01/2006 02:00	28.0	71.2	71.0	69.3	63.0	65.1	53.0	61.3	44.0	61.0	0.0	0.0	259.0	65.4	5	20.0
01/01/2006 02:05	32.0	71.7	71.0	68.9	63.0	64.6	53.0	60.8	43.0	61.7	0.0	0.0	262.0	65.4	5	20.0
01/01/2006 02:10	27.0	73.3	65.0	68.3	58.0	64.0	49.0	60.2	40.0	61.5	0.0	0.0	239.0	65.0	5	20.0
01/01/2006 02:15	24.0	76.6	60.0	69.2	54.0	64.9	45.0	61.1	36.0	61.8	0.0	0.0	219.0	66.1	5	20.0
01/01/2006 02:20	21.0	73.5	65.0	68.3	59.0	64.0	51.0	60.2	40.0	61.4	0.0	0.0	236.0	64.8	5	20.0
01/01/2006 02:25	28.0	71.3	69.0	68.9	61.0	64.6	52.0	60.7	42.0	61.9	0.0	0.0	252.0	65.3	5	20.0
01/01/2006 02:30	21.0	70.9	64.0	68.9	57.0	64.6	48.0	60.7	38.0	61.7	0.0	0.0	228.0	65.1	5	20.0
01/01/2006 02:35	19.0	74.4	62.0	68.7	55.0	64.5	46.0	60.7	37.0	61.4	0.0	0.0	219.0	65.2	5	20.0
01/01/2006 02:40	26.0	73.4	64.0	68.5	57.0	64.1	48.0	60.4	39.0	60.6	0.0	0.0	234.0	65.0	5	20.0
01/01/2006 02:45	25.0	76.1	64.0	69.3	57.0	65.1	47.0	61.3	39.0	61.3	0.0	0.0	232.0	66.1	5	20.0
01/01/2006 02:50	19.0	75.3	63.0	69.5	56.0	65.3	47.0	61.6	38.0	61.5	0.0	0.0	223.0	65.9	5	20.0
01/01/2006 02:55	22.0	76.0	65.0	69.5	59.0	65.3	50.0	61.4	40.0	61.3	0.0	0.0	236.0	66.0	5	20.0
01/01/2006 03:00	19.0	75.4	54.0	69.4	48.0	65.1	40.0	61.2	32.0	61.8	0.0	0.0	193.0	66.0	5	20.0
