5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Speed (mph)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Speed (mph)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Speed (mph)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Speed (mph)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Speed (mph)	Lane 6 Flow (Veh/5 Minutes)	Lane 6 Speed (mph)	Flow (Veh/5 Minutes)	Speed (mph)	# Lane Points	% Observed
01/08/2006 00:00	26.0	76.5	29.0	71.3	26.0	69.3	24.0	66.6	15.0	62.1	0.0	0.0	120.0	69.9	5	0.0
01/08/2006 00:05	22.0	77.2	32.0	70.9	28.0	69.0	26.0	66.3	17.0	61.8	0.0	0.0	125.0	69.4	5	0.0
01/08/2006 00:10	30.0	77.5	28.0	71.2	24.0	69.2	23.0	66.5	15.0	62.0	0.0	0.0	120.0	70.3	5	0.0
01/08/2006 00:15	23.0	76.7	33.0	71.0	29.0	69.1	27.0	66.4	17.0	61.9	0.0	0.0	129.0	69.5	5	0.0
01/08/2006 00:20	27.0	78.9	32.0	71.2	29.0	69.2	26.0	66.5	17.0	62.0	0.0	0.0	131.0	70.2	5	0.0
01/08/2006 00:25	28.0	75.5	29.0	70.9	26.0	69.0	24.0	66.3	15.0	61.8	0.0	0.0	122.0	69.6	5	0.0
01/08/2006 00:30	28.0	75.0	30.0	70.8	26.0	68.9	24.0	66.2	16.0	61.7	0.0	0.0	124.0	69.3	5	0.0
01/08/2006 00:35	28.0	75.9	29.0	70.8	26.0	68.9	24.0	66.2	15.0	61.7	0.0	0.0	122.0	69.6	5	0.0
01/08/2006 00:40	26.0	77.3	30.0	71.0	27.0	69.1	25.0	66.4	16.0	61.9	0.0	0.0	124.0	69.8	5	0.0
01/08/2006 00:45	22.0	76.0	31.0	70.7	27.0	68.8	25.0	66.2	16.0	61.7	0.0	0.0	121.0	69.1	5	0.0
01/08/2006 00:50	32.0	77.1	30.0	70.5	26.0	68.6	24.0	66.0	16.0	61.5	0.0	0.0	128.0	69.8	5	0.0
01/08/2006 00:55	31.0	76.2	30.0	70.7	27.0	68.8	25.0	66.2	16.0	61.7	0.0	0.0	129.0	69.6	5	0.0
01/08/2006 01:00	36.0	75.0	29.0	70.7	25.0	68.8	24.0	66.2	15.0	61.7	0.0	0.0	129.0	69.6	5	0.0
01/08/2006 01:05	26.0	74.4	28.0	70.3	24.0	68.4	23.0	65.8	15.0	61.3	0.0	0.0	116.0	68.8	5	0.0
01/08/2006 01:10	30.0	73.9	27.0	70.6	23.0	68.7	22.0	66.1	14.0	61.6	0.0	0.0	116.0	69.1	5	0.0
01/08/2006 01:15	29.0	76.0	27.0	70.5	24.0	68.6	22.0	66.0	14.0	61.5	0.0	0.0	116.0	69.5	5	0.0
01/08/2006 01:20	29.0	77.6	27.0	70.8	23.0	68.9	22.0	66.2	14.0	61.7	0.0	0.0	115.0	70.2	5	0.0
01/08/2006 01:25	28.0	76.1	28.0	70.8	25.0	68.9	23.0	66.2	15.0	61.7	0.0	0.0	119.0	69.6	5	0.0
01/08/2006 01:30	27.0	75.6	27.0	70.7	24.0	68.8	23.0	66.2	14.0	61.7	0.0	0.0	115.0	69.5	5	0.0
01/08/2006 01:35	31.0	74.0	28.0	70.9	25.0	69.0	23.0	66.3	15.0	61.8	0.0	0.0	122.0	69.3	5	0.0
01/08/2006 01:40	26.0	76.7	28.0	70.5	25.0	68.6	23.0	66.0	15.0	61.5	0.0	0.0	117.0	69.4	5	0.0
01/08/2006 01:45	25.0	77.1	28.0	71.0	24.0	69.1	23.0	66.4	15.0	61.9	0.0	0.0	115.0	69.9	5	0.0
01/08/2006 01:50	24.0	75.6	27.0	70.7	24.0	68.8	22.0	66.2	14.0	61.7	0.0	0.0	111.0	69.3	5	0.0
01/08/2006 01:55	22.0	75.1	26.0	71.0	23.0	69.1	22.0	66.4	14.0	61.9	0.0	0.0	107.0	69.3	5	0.0
01/08/2006 02:00	25.0	74.3	29.0	70.8	26.0	68.9	24.0	66.2	15.0	61.7	0.0	0.0	119.0	69.1	5	0.0
01/08/2006 02:05	26.0	74.3	27.0	70.5	24.0	68.6	22.0	66.0	14.0	61.5	0.0	0.0	113.0	69.0	5	0.0
01/08/2006 02:10	24.0	74.9	26.0	71.2	23.0	69.2	21.0	66.5	14.0	62.0	0.0	0.0	108.0	69.5	5	0.0
01/08/2006 02:15	25.0	76.7	26.0	71.0	23.0	69.1	21.0	66.4	14.0	61.9	0.0	0.0	109.0	69.9	5	0.0
01/08/2006 02:20	18.0	75.4	24.0	70.8	21.0	68.9	20.0	66.2	13.0	61.7	0.0	0.0	96.0	69.1	5	0.0
01/08/2006 02:25	26.0	73.2	23.0	71.4	20.0	69.4	19.0	66.7	12.0	62.2	0.0	0.0	100.0	69.5	5	0.0
01/08/2006 02:30	20.0	72.4	22.0	70.9	19.0	69.0	18.0	66.3	12.0	61.8	0.0	0.0	91.0	68.8	5	0.0
