5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 1 Occ (%)	Lane 2 Flow (Veh/5 Minutes)	Lane 2 Occ (%)	Lane 3 Flow (Veh/5 Minutes)	Lane 3 Occ (%)	Lane 4 Flow (Veh/5 Minutes)	Lane 4 Occ (%)	Lane 5 Flow (Veh/5 Minutes)	Lane 5 Occ (%)	Lane 6 Flow (Veh/5 Minutes)	Lane 6 Occ (%)	Flow (Veh/5 Minutes)	Occupancy (%)	# Lane Points	% Observed
01/15/2006 00:00	52.0	4.0	71.0	5.6	64.0	5.7	54.0	5.2	44.0	4.1	0.0	0.0	285.0	4.9	5	0.0
01/15/2006 00:05	51.0	4.1	70.0	5.6	62.0	5.7	52.0	5.2	43.0	4.2	0.0	0.0	278.0	4.9	5	0.0
01/15/2006 00:10	50.0	3.9	68.0	5.4	61.0	5.4	51.0	4.9	41.0	3.9	0.0	0.0	271.0	4.7	5	0.0
01/15/2006 00:15	47.0	3.6	65.0	5.1	58.0	5.2	49.0	4.7	39.0	3.6	0.0	0.0	258.0	4.4	5	0.0
01/15/2006 00:20	45.0	3.5	64.0	5.0	58.0	5.1	48.0	4.6	39.0	3.6	0.0	0.0	254.0	4.3	5	0.0
01/15/2006 00:25	45.0	3.6	62.0	5.2	57.0	5.3	49.0	4.9	37.0	3.6	0.0	0.0	250.0	4.5	5	0.0
01/15/2006 00:30	45.0	3.5	62.0	4.9	56.0	5.0	46.0	4.5	38.0	3.4	0.0	0.0	247.0	4.3	5	0.0
01/15/2006 00:35	38.0	3.1	56.0	4.6	50.0	4.7	42.0	4.2	34.0	3.3	0.0	0.0	220.0	4.0	5	0.0
01/15/2006 00:40	53.0	4.1	70.0	5.6	63.0	5.7	54.0	5.2	42.0	4.2	0.0	0.0	282.0	4.9	5	0.0
01/15/2006 00:45	38.0	3.2	57.0	4.7	51.0	4.8	42.0	4.3	34.0	3.4	0.0	0.0	222.0	4.1	5	0.0
01/15/2006 00:50	41.0	3.5	60.0	4.9	53.0	5.0	44.0	4.5	36.0	3.6	0.0	0.0	234.0	4.3	5	0.0
01/15/2006 00:55	45.0	3.5	63.0	4.9	57.0	5.0	47.0	4.6	38.0	3.6	0.0	0.0	250.0	4.3	5	0.0
01/15/2006 01:00	43.0	3.4	62.0	4.9	55.0	5.0	46.0	4.5	37.0	3.5	0.0	0.0	243.0	4.3	5	0.0
01/15/2006 01:05	42.0	3.5	61.0	4.9	54.0	5.0	45.0	4.5	37.0	3.5	0.0	0.0	239.0	4.3	5	0.0
01/15/2006 01:10	40.0	3.3	58.0	4.7	52.0	4.8	43.0	4.3	35.0	3.2	0.0	0.0	228.0	4.1	5	0.0
01/15/2006 01:15	41.0	3.3	60.0	4.8	54.0	4.9	45.0	4.4	36.0	3.5	0.0	0.0	236.0	4.2	5	0.0
01/15/2006 01:20	45.0	3.5	63.0	4.9	56.0	5.0	47.0	4.5	38.0	3.5	0.0	0.0	249.0	4.3	5	0.0
01/15/2006 01:25	40.0	3.2	58.0	4.6	52.0	4.7	44.0	4.3	35.0	3.3	0.0	0.0	229.0	4.0	5	0.0
01/15/2006 01:30	46.0	3.6	65.0	5.1	58.0	5.2	48.0	4.7	39.0	3.7	0.0	0.0	256.0	4.4	5	0.0
01/15/2006 01:35	45.0	3.7	64.0	5.1	57.0	5.3	47.0	4.7	39.0	3.8	0.0	0.0	252.0	4.5	5	0.0
01/15/2006 01:40	39.0	3.3	58.0	4.7	52.0	4.8	43.0	4.3	35.0	3.4	0.0	0.0	227.0	4.1	5	0.0
01/15/2006 01:45	43.0	3.2	61.0	4.6	56.0	4.7	47.0	4.3	37.0	3.4	0.0	0.0	244.0	4.0	5	0.0
01/15/2006 01:50	36.0	3.0	54.0	4.4	48.0	4.4	40.0	4.0	32.0	2.9	0.0	0.0	210.0	3.7	5	0.0
01/15/2006 01:55	40.0	3.1	57.0	4.6	52.0	4.7	44.0	4.5	32.0	2.9	0.0	0.0	225.0	4.0	5	0.0
01/15/2006 02:00	42.0	3.3	60.0	4.8	54.0	4.9	45.0	4.4	36.0	3.5	0.0	0.0	237.0	4.2	5	0.0
01/15/2006 02:05	38.0	3.2	57.0	4.7	51.0	4.8	42.0	4.3	34.0	3.2	0.0	0.0	222.0	4.0	5	0.0
01/15/2006 02:10	41.0	3.4	60.0	4.8	54.0	4.9	45.0	4.4	36.0	3.5	0.0	0.0	236.0	4.2	5	0.0
01/15/2006 02:15	41.0	3.4	60.0	4.9	54.0	5.0	45.0	4.5	36.0	3.6	0.0	0.0	236.0	4.3	5	0.0
01/15/2006 02:20	44.0	3.5	62.0	5.1	57.0	5.2	49.0	4.7	37.0	3.6	0.0	0.0	249.0	4.4	5	0.0
01/15/2006 02:25	44.0	3.3	62.0	4.8	56.0	4.8	47.0	4.4	36.0	3.2	0.0	0.0	245.0	4.1	5	0.0
01/15/2006 02:30	40.0	3.2	59.0	4.6	53.0	4.7	44.0	4.3	35.0	3.3	0.0	0.0	231.0	4.0	5	0.0
01/15/2006 02:35	37.0	3.0	55.0	4.3	49.0	4.4	40.0	3.9	32.0	2.8	0.0	0.0	213.0	3.7	5	0.0
01/15/2006 02:40	33.0	2.9	51.0	4.3	46.0	4.4	38.0	3.9	30.0	2.9	0.0	0.0	198.0	3.7	5	0.0
01/15/2006 02:45	36.0	3.0	55.0	4.5	49.0	4.5	41.0	4.1	33.0	3.0	0.0	0.0	214.0	3.8	5	0.0
01/15/2006 02:50	34.0	2.9	53.0	4.3	48.0	4.4	40.0	4.0	32.0	3.1	0.0	0.0	207.0	3.7	5	0.0
01/15/2006 02:55	33.0	3.2	51.0	4.4	46.0	4.4	38.0	4.0	30.0	3.1	0.0	0.0	198.0	3.8	5	0.0
01/15/2006 03:00	33.0	2.9	50.0	4.2	45.0	4.3	37.0	3.8	29.0	2.7	0.0	0.0	194.0	3.6	5	0.0
01/15/2006 03:05	32.0	2.8	50.0	4.2	45.0	4.3	37.0	3.8	29.0	2.7	0.0	0.0	193.0	3.6	5	0.0
01/15/2006 03:10	31.0	2.8	49.0	4.2	44.0	4.2	36.0	3.8	27.0	2.5	0.0	0.0	187.0	3.5	5	0.0
01/15/2006 03:15	29.0	2.7	47.0	4.1	42.0	4.2	34.0	3.7	27.0	2.5	0.0	0.0	179.0	3.4	5	0.0
